Algorithm,LB,Obj
iPRS_B,98815,109377
iPRS_B,167657,187084
iPRS_B,38745,40860
iPRS_B,560,750
iPRS_B,1760,2444
iPRS_B,3600,4818
iPRS_B,280,280
iPRS_B,555,561
iPRS_B,803,834
iPRS_B,23617,26224
iPRS_B,50962,59465
iPRS_B,81661,95272
iPRS_B,13284,16072
iPRS_B,46402,57620
iPRS_B,102306,119278
iPRS_B,656,808
iPRS_B,2322,2942
iPRS_B,5118,6102
iPRS_B,173493,205137
iPRS_B,297068,354037
iPRS_B,70127,78973
iPRS_B,92580,105511
iPRS_B,23625,25146
iPRS_B,57263,61407
iPRS_M,98815,109578
iPRS_M,167657,188909
iPRS_M,38745,40831
iPRS_M,560,740
iPRS_M,1760,2496
iPRS_M,3600,4922
iPRS_M,280,280
iPRS_M,555,560
iPRS_M,803,829
iPRS_M,23617,26130
iPRS_M,50962,59089
iPRS_M,81661,96349
iPRS_M,13284,16196
iPRS_M,46402,59198
iPRS_M,102306,121286
iPRS_M,656,804
iPRS_M,2322,2992
iPRS_M,5118,6114
iPRS_M,173493,203909
iPRS_M,297068,351129
iPRS_M,70127,78421
iPRS_M,92580,105138
iPRS_M,23625,25083
iPRS_M,57263,60457
Source_C,98815,129379
Source_C,167657,210091
Source_C,38745,55624
Source_C,560,1700
Source_C,1760,4008
Source_C,3600,5924
Source_C,280,290
Source_C,555,568
Source_C,803,842
Source_C,23617,33874
Source_C,50962,71692
Source_C,81661,110659
Source_C,13284,47116
Source_C,46402,94636
Source_C,102306,146264
Source_C,656,2242
Source_C,2322,4554
Source_C,5118,7600
Source_C,173493,255355
Source_C,297068,403403
Source_C,70127,114894
Source_C,92580,111024
Source_C,23625,30491
Source_C,57263,68344
Retuned,98815,111252
Retuned,167657,191359
Retuned,38745,40805
Retuned,560,750
Retuned,1760,2402
Retuned,3600,5046
Retuned,280,280
Retuned,555,560
Retuned,803,831
Retuned,23617,26382
Retuned,50962,59558
Retuned,81661,98185
Retuned,13284,16136
Retuned,46402,58452
Retuned,102306,122448
Retuned,656,804
Retuned,2322,3008
Retuned,5118,6200
Retuned,173493,201535
Retuned,297068,349380
Retuned,70127,79135
Retuned,92580,106848
Retuned,23625,25076
Retuned,57263,62457
Source,98815,143429
Source,167657,224910
Source,38745,61521
Source,560,2046
Source,1760,4792
Source,3600,6490
Source,280,304
Source,555,583
Source,803,845
Source,23617,35579
Source,50962,76290
Source,81661,116032
Source,13284,55324
Source,46402,123184
Source,102306,162622
Source,656,2686
Source,2322,6036
Source,5118,8214
Source,173493,272747
Source,297068,431105
Source,70127,126340
Source,92580,117902
Source,23625,33980
Source,57263,71903
Target,98815,107834
Target,167657,186496
Target,38745,40805
Target,560,728
Target,1760,2346
Target,3600,4790
Target,280,280
Target,555,560
Target,803,830
Target,23617,26160
Target,50962,58395
Target,81661,95499
Target,13284,15812
Target,46402,57554
Target,102306,119414
Target,656,790
Target,2322,2886
Target,5118,6010
Target,173493,200404
Target,297068,348092
Target,70127,76977
Target,92580,104290
Target,23625,25076
Target,57263,61190
iPTS,98815,107913
iPTS,167657,187429
iPTS,38745,40810
iPTS,560,716
iPTS,1760,2390
iPTS,3600,4806
iPTS,280,280
iPTS,555,560
iPTS,803,829
iPTS,23617,26001
iPTS,50962,58039
iPTS,81661,95879
iPTS,13284,15454
iPTS,46402,56724
iPTS,102306,117976
iPTS,656,800
iPTS,2322,2886
iPTS,5118,5994
iPTS,173493,200542
iPTS,297068,347997
iPTS,70127,78224
iPTS,92580,106492
iPTS,23625,25076
iPTS,57263,61725
