0,Heuristic,0,50
3630,15974
3600,15974
3570,15984
3540,15984
3510,15984
3480,15984
3450,16033
3420,16035
3390,16035
3360,16061
3330,16061
3300,16061
3270,16072
3240,16072
3210,16088
3180,16110
3150,16120
3120,16145
3090,16185
3060,16199
3030,16199
3000,16199
2970,16259
2940,16278
2910,16315
2880,16315
2850,16362
2820,16371
2790,16371
2760,16395
2730,16395
2700,16395
2670,16482
2640,16482
2610,16482
2580,16519
2550,16519
2520,16550
2490,16550
2460,16588
2430,16665
2400,16675
2370,16715
2340,16769
2310,16769
2280,16769
2250,16822
2220,16835
2190,16873
2160,16882
2130,16900
2100,16933
2070,16977
2040,16997
2010,17025
1980,17025
1950,17073
1920,17115
1890,17175
1860,17210
1830,17239
1800,17239
1770,17316
840,20024
810,20301
780,20610
750,20845
720,21008
690,21506
660,21934
630,22578
600,23367
570,24751
540,25929
510,25929
480,104018
450,183840
420,185090
390,186941
0,41374565
30,15948861
60,8670672
90,5153013
120,3072806
150,1713500
180,1389238
210,991763
240,592659
270,428974
300,425432
330,344547
360,192799
870,19929
900,19728
930,19569
960,19387
990,19324
1020,19246
1050,19169
1080,19047
1110,18944
1140,18797
1170,18655
1200,18538
1230,18454
1260,18346
1290,18196
1320,18166
1350,18085
1380,18003
1410,17966
1440,17914
1470,17833
1500,17800
1530,17712
1560,17704
1590,17634
1620,17573
1650,17515
1680,17474
1710,17436
1740,17369
Final, 15974

