Move, NrChosen, NrAccepted, % Improvement found, Average improvement found, % contribution to best objective, Instance
InterClubSwap, 65, 36, 0, 0, 0, 1
IntraClubSwap, 50, 50, 0.14, 9.98, 0.06, 1
RandomSwap, 55, 21, 0.0181818, 2.83636, 0, 1
ComplementInsertion, 73, 0, 0, 0, 0, 1
InterClubSwap, 60, 29, 0.0333333, 3.91667, 0.0333333, 1
IntraClubSwap, 87, 86, 0.16092, 7.43678, 0.045977, 1
RandomSwap, 70, 24, 0.0142857, 0.914286, 0, 1
ComplementInsertion, 61, 0, 0, 0, 0, 1
InterClubSwap, 75, 35, 0.0133333, 1.2, 0.0133333, 1
IntraClubSwap, 72, 72, 0.138889, 8.5, 0.0694444, 1
RandomSwap, 67, 30, 0, 0, 0, 1
ComplementInsertion, 67, 0, 0, 0, 0, 1
InterClubSwap, 4, 3, 0, 0, 0, 1
IntraClubSwap, 8, 7, 0.25, 24.75, 0.25, 1
RandomSwap, 9, 2, 0, 0, 0, 1
ComplementInsertion, 10, 0, 0, 0, 0, 1
