Meta_Karel,7,1400,0,1403,0
0,2,4
0,3,6
0,4,10
0,5,8
0,11,12
0,12,0
0,15,2
1,2,6
1,3,0
1,5,4
1,7,2
1,11,8
1,12,12
1,15,10
2,0,13
2,1,9
2,6,3
2,8,5
2,9,1
2,13,7
2,14,11
3,0,11
3,1,13
3,6,5
3,8,1
3,9,7
3,10,3
3,14,9
4,0,5
4,6,1
4,8,7
4,9,13
4,10,9
4,13,11
4,14,3
5,0,1
5,1,7
5,8,3
5,9,11
5,10,13
5,13,9
5,14,5
6,2,8
6,3,10
6,4,12
6,7,0
6,11,6
6,12,2
6,15,4
7,1,11
7,6,13
7,8,9
7,9,3
7,10,1
7,13,5
7,14,7
8,2,12
8,3,8
8,4,6
8,5,10
8,7,4
8,11,2
8,15,0
9,2,10
9,3,4
9,4,0
9,5,2
9,7,12
9,12,8
9,15,6
10,3,12
10,4,2
10,5,0
10,7,10
10,11,4
10,12,6
10,15,8
11,0,3
11,1,5
11,6,9
11,8,11
11,10,7
11,13,13
11,14,1
12,0,9
12,1,3
12,6,7
12,9,5
12,10,11
12,13,1
12,14,13
13,2,2
13,4,4
13,5,6
13,7,8
13,11,0
13,12,10
13,15,12
14,2,0
14,3,2
14,4,8
14,5,12
14,7,6
14,11,10
14,12,4
15,0,7
15,1,1
15,6,11
15,8,13
15,9,9
15,10,5
15,13,3
