0,Heuristic,1,5000
3630,14800
3600,14800
3570,14800
3540,14800
3510,14965
3480,14965
3450,14965
3420,14965
3390,14965
3360,14965
3330,14965
3300,14965
3270,14965
3240,14965
3210,14965
3180,14965
3150,14965
3120,14965
3090,14965
3060,14965
3030,14965
3000,14965
2970,14965
2940,14965
2910,14965
2880,14965
2850,14965
2820,14965
2790,14965
2760,14965
2730,14965
2700,15008
2670,15008
2640,15008
2610,15008
2580,15008
2550,15008
2520,15008
2490,15008
2460,15008
2430,15008
2400,15182
2370,15219
2340,15234
2310,15242
2280,15242
2250,15242
2220,15242
2190,15242
2160,15252
2130,15252
2100,15252
2070,15252
2040,15252
2010,15252
1980,15252
1950,15252
1920,15252
1890,15252
1860,15470
1830,15470
1800,15470
1770,15470
840,15976
810,16165
780,16165
750,16168
720,16168
690,16168
660,16168
630,16168
600,16168
570,16168
540,16445
510,16504
480,16543
450,16543
420,16543
390,16625
0,4189508
30,19517
60,19013
90,17042
120,17032
150,17032
180,16953
210,16953
240,16953
270,16733
300,16733
330,16733
360,16729
870,15976
900,15976
930,15976
960,15976
990,15976
1020,15907
1050,15907
1080,15907
1110,15652
1140,15652
1170,15652
1200,15588
1230,15588
1260,15588
1290,15588
1320,15588
1350,15588
1380,15588
1410,15588
1440,15588
1470,15548
1500,15548
1530,15510
1560,15510
1590,15510
1620,15510
1650,15510
1680,15510
1710,15510
1740,15470
Final, 14800

