Move, NrChosen, NrAccepted, % Improvement found, Average improvement found, % contribution to best objective, Instance
InterClubSwap, 55, 29, 0, 0, 0, 5
IntraClubSwap, 46, 46, 0.173913, 7.86957, 0.0652174, 5
RandomSwap, 52, 22, 0.0192308, 3.78846, 0, 5
ComplementInsertion, 54, 0, 0, 0, 0, 5
InterClubSwap, 38, 18, 0, 0, 0, 5
IntraClubSwap, 45, 45, 0.266667, 11.6667, 0.0222222, 5
RandomSwap, 50, 21, 0, 0, 0, 5
ComplementInsertion, 30, 0, 0, 0, 0, 5
InterClubSwap, 53, 26, 0, 0, 0, 5
IntraClubSwap, 54, 53, 0.259259, 7.24074, 0.0185185, 5
RandomSwap, 41, 16, 0, 0, 0, 5
ComplementInsertion, 45, 0, 0, 0, 0, 5
InterClubSwap, 46, 23, 0, 0, 0, 5
IntraClubSwap, 54, 54, 0.240741, 9.88889, 0.0185185, 5
RandomSwap, 50, 22, 0, 0, 0, 5
ComplementInsertion, 55, 0, 0, 0, 0, 5
InterClubSwap, 53, 26, 0, 0, 0, 5
IntraClubSwap, 45, 44, 0.244444, 8.62222, 0.0666667, 5
RandomSwap, 72, 27, 0, 0, 0, 5
ComplementInsertion, 61, 0, 0, 0, 0, 5
