0	1
1	0
2	1
3	1
4	0
5	0
6	0
7	1
8	0
9	1
10	0
11	0
12	0
13	1
14	0
15	0
16	1
17	0
18	0
19	0
20	0
21	0
22	1
23	1
24	1
25	0
26	0
27	1
28	1
29	1
30	1
31	0
32	1
33	1
34	0
35	0
36	0
37	1
38	1
39	1
40	0
41	0
42	0
43	0
44	0
45	1
46	1
47	1
48	1
49	0
50	0
51	1
52	1
53	0
54	0
55	1
56	0
57	0
58	0
59	1
60	1
61	1
62	1
63	1
64	0
65	1
66	0
67	1
68	1
69	1
70	1
71	0
72	1
73	0
74	0
75	1
76	0
77	1
78	1
79	0
80	1
81	1
82	1
83	1
84	1
85	0
86	0
87	1
88	0
89	0
90	1
91	0
92	1
93	0
94	1
95	0
96	0
97	1
98	0
99	0
100	0
101	1
102	1
103	0
104	0
105	0
106	1
107	1
108	1
109	1
110	1
111	0
112	1
113	0
114	0
115	0
116	1
117	0
118	0
119	0
120	1
121	0
122	0
123	1
124	0
125	1
126	1
127	1
128	1
129	1
130	0
131	0
132	1
133	1
134	0
135	1
136	0
137	0
138	1
139	1
140	0
141	0
142	0
143	1
6 7 8 9 10 11 12 13 14 1 5 4 3 2 
