216	1	136	8 1 
1	1	127			
1	1	153			
1	1	15			
1	1	19			
1	1	16			
2	1	78	143		
2	2	27	37		
1	1	69			
1	1	23			
1	1	149			
3	1	35	130	131	
1	1	87			
2	2	105	164		
1	1	108			
1	1	101			
2	1	55	138		
1	1	52			
2	2	146	166		
1	1	60			
1	1	56			
1	1	73			
1	1	99			
1	1	110			
1	1	54			
2	2	1	84		
1	1	111			
1	1	98			
1	1	59			
1	1	46			
2	1	50	128		
1	1	160			
2	1	17	144		
1	1	96			
1	1	63			
1	1	76			
1	1	66			
1	1	74			
1	1	68			
1	1	158			
1	1	82			
1	1	91			
1	1	85			
1	1	26			
1	1	157			
1	1	161			
1	1	106			
1	1	163			
1	1	33			
1	1	71			
1	1	70			
2	1	21	45		
2	2	24	140		
1	1	8			
1	1	11			
1	1	155			
1	1	147			
1	1	123			
1	1	119			
2	1	36	40		
2	1	28	118		
1	1	5			
1	1	133			
1	1	132			
1	1	93			
1	1	97			
2	1	6	120		
2	1	75	148		
1	1	34			
1	1	47			
1	1	42			
2	2	9	25		
2	1	150	215		
1	1	48			
2	1	49	57		
2	1	29	214		
2	1	142	213		
2	1	61	212		
2	1	80	211		
2	1	18	210		
2	1	136	209		
2	1	135	156		
2	1	126	208		
2	1	124	207		
2	1	113	206		
2	1	38	205		
2	1	109	204		
2	1	13	203		
2	1	64	202		
2	1	65	201		
2	1	83	88		
2	1	62	200		
2	2	22	114		
2	1	152	199		
2	1	20	137		
2	1	44	198		
2	1	10	197		
2	2	92	103		
2	1	77	196		
2	1	72	195		
2	1	95	194		
2	2	14	115		
2	1	3	193		
2	1	31	192		
2	1	116	191		
2	1	94	102		
2	1	2	86		
2	1	79	190		
2	1	117	189		
2	1	139	188		
2	1	145	187		
2	1	134	186		
2	1	129	185		
1	1	100			
2	1	89	184		
3	1	43	121	125	
2	1	0	183		
2	1	112	182		
2	1	12	181		
1	1	151			
2	2	7	141		
2	1	58	180		
2	1	53	179		
2	2	90	104		
2	1	122	178		
2	1	51	177		
2	1	39	176		
2	1	81	175		
2	1	4	174		
2	1	159	173		
2	1	67	172		
2	1	30	171		
2	1	154	170		
2	1	32	169		
2	1	107	162		
2	1	165	168		
2	1	41	167		
