184	1	138	8 1 0
2	1	46	164	
1	1	60		
1	1	141		
2	1	5	63	
2	1	24	73	
1	1	103		
2	1	121	125	
2	2	65	123	
1	1	115		
1	1	61		
1	1	48		
1	1	130		
2	2	8	108	
2	2	22	92	
1	1	140		
1	1	128		
2	2	95	154	
1	1	160		
1	1	17		
1	1	41		
1	1	56		
1	1	57		
1	1	129		
2	1	49	64	
1	1	136		
2	1	16	70	
1	1	102		
1	1	101		
2	2	42	132	
2	1	71	79	
1	1	53		
1	1	112		
1	1	116		
2	2	11	66	
1	1	86		
1	1	62		
1	1	13		
2	2	74	143	
1	1	75		
1	1	146		
1	1	147		
1	1	76		
1	1	19		
2	1	18	183	
1	1	106		
1	1	148		
1	1	156		
1	1	97		
1	1	157		
2	1	0	2	
2	1	15	68	
1	1	72		
1	1	33		
2	1	4	51	
2	2	23	150	
1	1	139		
1	1	107		
1	1	34		
2	1	38	182	
1	1	122		
1	1	25		
1	1	109		
2	2	133	165	
1	1	162		
1	1	98		
2	2	27	35	
1	1	45		
2	1	54	181	
1	1	37		
1	1	91		
1	1	26		
1	1	144		
1	1	29		
1	1	52		
1	1	81		
2	1	110	180	
1	1	152		
1	1	3		
2	1	119	163	
2	2	59	118	
1	1	117		
1	1	135		
2	1	21	138	
1	1	131		
1	1	105		
1	1	39		
2	1	96	179	
2	1	83	178	
1	1	120		
1	1	1		
2	1	88	177	
1	1	43		
1	1	94		
2	1	87	176	
1	1	149		
1	1	134		
1	1	9		
2	1	89	175	
1	1	30		
2	1	44	114	
1	1	82		
1	1	127		
1	1	113		
2	1	12	174	
1	1	69		
1	1	31		
2	1	99	173	
2	1	78	172	
1	1	14		
1	1	142		
2	1	67	126	
1	1	90		
2	1	77	145	
2	2	93	151	
1	1	85		
1	1	137		
2	2	36	104	
1	1	10		
2	1	159	171	
1	1	32		
2	1	58	170	
2	1	111	169	
1	1	47		
1	1	20		
2	1	153	168	
1	1	28		
1	1	6		
2	1	40	167	
1	1	80		
2	1	55	166	
1	1	161		
1	1	124		
1	1	50		
1	1	84		
1	1	100		
1	1	155		
1	1	158		
1	1	7		
0	19	16	13	17	14	18	17	13	10	4	20	4	16	19	15	24	24	17	4	9	10	19	14	6	14	23	27	3	19	10	6	19	13	11	16	17	14	17	11	24	18	10	17	12	13	22	28	31	19	22	15	8	8	23	18	9	7	13	12	12	3	10	8	22	5	6	12	7	9	14	16	16	4	21	6	18	10	20	16	19	6	8	3	15	14	25	16	20	14	13	4	9	11	15	14	20	17	18	6	18	17	13	18	14	11	20	19	18	11	19	7	19	19	19	9	5	10	19	15	15	2	2	14	16	7	11	3	21	13	20	21	7	16	25	23	24	4
