0,IP
1140,3381044
1110,3381073
1080,3381284
1050,3382261
1020,3382261
990,3543175
960,3621117
930,3939886
900,4019485
870,4497777
360,6575151
330,8496082
300,11538353
270,12178041
240,12818096
210,12818213
180,12818294
150,22496900
120,23136667
90,26255953
60,38653823
30,42652991
0,52327710
390,6175476
420,6175345
450,6174609
480,6094473
510,5854587
540,5775225
570,5775105
600,5775085
630,5774404
660,5774399
690,5774211
720,5216856
750,5056995
780,4737955
810,4657489
840,4577467
Final, 3381044,5111

