0,Heuristic,1,1
Time,Value 
30,5882
0,6836
Final, 5784

Round,H_team,A_team 
0,29,0
0,1,33
0,2,38
0,34,3
0,4,15
0,5,12
0,37,6
0,21,7
0,8,16
0,11,9
0,24,10
0,18,13
0,26,14
0,17,30
0,25,19
0,20,32
0,28,22
0,23,31
0,27,35
0,39,36
1,36,0
1,5,1
1,2,16
1,33,3
1,4,38
1,39,6
1,23,7
1,8,32
1,12,9
1,10,15
1,11,19
1,22,13
1,28,14
1,21,17
1,18,25
1,20,31
1,27,24
1,26,34
1,37,29
1,30,35
2,0,24
2,1,16
2,2,29
2,37,3
2,4,5
2,35,6
2,18,7
2,8,39
2,9,20
2,10,25
2,21,11
2,12,26
2,13,19
2,14,15
2,23,17
2,22,31
2,30,27
2,33,28
2,36,32
2,38,34
3,0,2
3,34,1
3,3,29
3,36,4
3,5,28
3,6,38
3,7,35
3,10,8
3,9,25
3,17,11
3,12,21
3,13,26
3,19,14
3,15,20
3,16,39
3,22,18
3,27,23
3,33,24
3,32,30
3,31,37
4,0,12
4,31,1
4,2,28
4,3,35
4,30,4
4,13,5
4,14,6
4,7,38
4,8,11
4,19,9
4,23,10
4,15,39
4,16,17
4,18,21
4,20,26
4,25,22
4,24,37
4,27,32
4,29,33
4,34,36
5,39,0
5,1,8
5,37,2
5,6,3
5,31,4
5,11,5
5,14,7
5,16,9
5,22,10
5,12,15
5,38,13
5,29,17
5,18,20
5,19,21
5,24,23
5,25,27
5,26,33
5,28,32
5,34,30
5,36,35
6,0,34
6,1,25
6,33,2
6,3,31
6,4,39
6,6,5
6,7,37
6,35,8
6,9,14
6,10,11
6,12,19
6,21,13
6,15,16
6,17,20
6,32,18
6,22,26
6,23,36
6,30,24
6,27,29
6,38,28
7,0,1
7,30,2
7,20,3
7,19,4
7,5,22
7,6,31
7,7,11
7,33,8
7,9,37
7,39,10
7,12,14
7,17,13
7,15,27
7,16,21
7,18,23
7,35,24
7,38,25
7,26,36
7,34,28
7,29,32
8,7,0
8,1,6
8,2,14
8,21,3
8,28,4
8,5,38
8,8,22
8,26,9
8,37,10
8,20,11
8,16,12
8,13,15
8,17,33
8,18,27
8,19,23
8,36,24
