0,IP,i06
Time,Value 
Final, 176471,9818

Round,H_team,A_team 
0,1,0
0,7,2
0,8,3
0,9,4
0,33,5
0,26,6
0,10,15
0,12,11
0,13,18
0,27,14
0,24,16
0,20,17
0,19,21
0,28,22
0,25,23
0,31,29
0,32,30
0,62,34
0,47,35
0,51,36
0,37,57
0,59,38
0,43,39
0,42,40
0,41,50
0,44,63
0,48,45
0,54,46
0,52,49
0,64,53
0,55,65
0,58,56
0,61,60
0,69,66
0,67,68
0,138,70
0,71,73
0,88,72
0,87,74
0,76,75
0,77,79
0,137,78
0,113,80
0,109,81
0,82,83
0,85,84
0,86,141
0,89,94
0,90,91
0,92,100
0,93,95
0,96,130
0,127,97
0,99,98
0,135,101
0,143,102
0,104,103
0,105,123
0,106,107
0,108,114
0,126,110
0,111,112
0,150,115
0,151,116
0,119,117
0,120,118
0,121,122
0,128,124
0,125,149
0,129,145
0,131,132
0,134,133
0,139,136
0,142,140
0,144,146
0,147,148
0,152,157
0,153,199
0,194,154
0,215,155
0,156,197
0,158,162
0,159,190
0,160,210
0,211,161
0,163,169
0,201,164
0,206,165
0,166,193
0,168,167
0,178,170
0,171,191
0,184,172
0,200,173
0,196,174
0,180,175
0,203,176
0,177,216
0,192,179
0,181,182
0,183,213
0,195,185
0,186,219
0,187,189
0,218,188
0,217,198
0,202,212
0,220,204
0,221,205
0,207,208
0,214,209
0,222,227
0,239,223
0,224,236
0,230,225
0,233,226
0,228,237
0,229,231
0,232,238
0,234,241
0,235,240
0,242,247
0,243,248
0,253,244
0,251,245
0,246,250
0,249,252
0,309,254
0,322,255
0,256,260
0,257,297
0,258,274
0,262,259
0,261,316
0,263,293
0,275,264
0,307,265
0,292,266
0,267,271
0,299,268
0,269,296
0,298,270
0,272,314
0,273,313
0,294,276
0,282,277
0,278,323
0,279,312
0,315,280
0,281,325
0,283,287
0,311,284
0,317,285
0,306,286
0,320,288
0,301,289
0,290,321
0,291,295
0,300,308
0,302,324
0,304,303
0,305,310
0,319,318
0,326,358
0,327,352
0,359,328
0,329,346
0,330,331
0,332,333
0,334,366
0,335,336
0,339,337
0,338,349
0,340,342
0,351,341
0,345,343
0,344,354
0,347,365
0,348,369
0,350,355
0,370,353
0,356,357
0,360,368
0,363,361
0,362,367
0,371,364
0,377,372
0,373,404
0,374,376
0,375,412
0,379,378
0,380,385
0,381,382
0,387,383
0,394,384
0,393,386
0,407,388
0,401,389
0,390,408
0,413,391
0,392,395
0,396,397
0,398,411
0,410,399
0,406,400
0,405,402
0,409,403
0,462,414
0,416,415
0,430,417
0,418,419
0,420,468
0,456,421
0,422,466
0,480,423
0,431,424
0,425,485
0,426,488
0,481,427
0,428,435
0,433,429
0,432,484
0,442,434
0,443,436
0,437,464
0,438,454
0,453,439
0,449,440
0,448,441
0,444,455
0,477,445
0,493,446
0,447,483
0,450,469
0,451,452
0,458,457
0,459,460
0,461,492
0,482,463
0,467,465
0,472,470
0,474,471
0,473,475
0,486,476
0,478,479
0,489,487
0,491,490
0,502,494
0,496,495
0,497,543
0,498,557
0,540,499
0,509,500
0,527,501
0,521,503
0,514,504
0,505,568
