0,IP,i01
Time,Value 
Final, 2821,2821

Round,H_team,A_team 
0,0,8
0,1,2
0,21,3
0,7,4
0,18,5
0,6,17
0,9,19
0,20,10
0,11,15
0,12,13
0,16,14
0,22,23
0,24,33
0,27,25
0,28,26
0,29,32
0,31,30
1,0,1
1,2,7
1,4,3
1,5,9
1,12,6
1,8,21
1,10,13
1,14,11
1,17,15
1,20,16
1,19,18
1,30,22
1,32,23
1,24,31
1,25,26
1,27,28
1,33,29
2,2,0
2,1,7
2,3,18
2,8,4
2,10,5
2,16,6
2,9,12
2,11,17
2,13,14
2,15,20
2,19,21
2,22,27
2,23,31
2,32,24
2,28,25
2,26,29
2,30,33
3,4,0
3,3,1
3,18,2
3,5,13
3,6,15
3,7,8
3,14,9
3,12,10
3,16,11
3,21,17
3,20,19
3,25,22
3,33,23
3,24,30
3,26,27
3,29,28
3,31,32
4,0,3
4,4,1
4,8,2
4,19,5
4,6,11
4,21,7
4,13,9
4,10,18
4,14,12
4,15,16
4,17,20
4,22,26
4,23,24
4,25,31
4,27,29
4,33,28
4,30,32
5,7,0
5,1,8
5,2,4
5,3,19
5,5,12
5,13,6
5,9,10
5,11,20
5,15,14
5,17,16
5,18,21
5,28,22
5,23,30
5,26,24
5,29,25
5,31,27
5,32,33
