0,IP,i02
Time,Value 
Final, 3980,3980

Round,H_team,A_team 
0,0,8
0,16,1
0,13,2
0,3,14
0,4,18
0,5,10
0,12,6
0,7,11
0,9,15
0,17,23
0,20,19
0,25,21
0,24,22
0,26,34
0,33,27
0,28,30
0,32,29
0,31,39
0,37,35
0,36,38
1,10,0
1,1,20
1,2,21
1,3,4
1,15,5
1,6,7
1,8,9
1,11,12
1,19,13
1,14,18
1,23,16
1,22,17
1,24,25
1,27,26
1,28,29
1,30,32
1,34,31
1,36,33
1,35,38
1,39,37
2,9,0
2,17,1
2,25,2
2,18,3
2,4,13
2,5,8
2,11,6
2,7,12
2,10,19
2,15,14
2,21,16
2,20,24
2,23,22
2,26,37
2,27,28
2,29,33
2,34,30
2,31,32
2,35,36
2,38,39
3,0,5
3,1,21
3,12,2
3,6,3
3,4,14
3,18,7
3,8,15
3,9,10
3,13,11
3,16,17
3,19,25
3,22,20
3,24,23
3,26,31
3,30,27
3,33,28
3,29,36
3,32,38
3,37,34
3,39,35
4,0,1
4,2,19
4,3,7
4,6,4
4,5,9
4,14,8
4,10,15
4,11,18
4,13,12
4,16,24
4,21,17
4,23,20
4,25,22
4,30,26
4,27,31
4,28,35
4,34,29
4,33,32
4,36,39
4,38,37
5,15,0
5,1,9
5,2,11
5,12,3
5,7,4
5,14,5
5,18,6
5,8,10
5,21,13
5,22,16
5,17,24
5,19,23
5,20,25
5,39,26
5,29,27
5,32,28
5,31,30
5,35,33
5,38,34
5,37,36
