Meta_Karel,7,1280,0,1305,0
0,1,2
0,2,5
0,3,0
0,4,10
0,5,8
0,11,12
0,15,3
1,0,13
1,3,11
1,4,3
1,6,1
1,7,7
1,11,8
1,15,5
2,1,10
2,5,12
2,6,2
2,8,6
2,12,8
2,13,0
2,14,4
3,4,8
3,5,10
3,6,6
3,9,1
3,10,5
3,12,3
3,14,12
4,0,4
4,2,13
4,3,2
4,5,6
4,8,1
4,9,11
4,14,9
5,0,1
5,1,4
5,2,3
5,6,11
5,9,7
5,10,9
5,12,13
6,0,7
6,1,12
6,2,9
6,5,5
6,7,3
6,11,0
6,12,10
7,0,6
7,1,0
7,6,8
7,10,12
7,11,2
7,13,5
7,14,10
8,3,7
8,4,12
8,9,5
8,11,9
8,13,3
8,14,0
8,15,10
9,3,9
9,4,0
9,5,2
9,7,4
9,8,8
9,14,6
9,15,12
10,3,13
10,7,1
10,8,4
10,9,10
10,11,6
10,12,11
10,15,8
11,2,1
11,6,13
11,7,11
11,9,3
11,10,7
11,12,5
11,13,10
12,0,9
12,1,6
12,4,7
12,5,0
12,6,4
12,10,2
12,13,12
13,2,11
13,7,9
13,8,13
13,11,4
13,12,1
13,14,2
13,15,7
14,2,7
14,4,5
14,8,11
14,9,13
14,10,3
14,13,8
14,15,1
15,0,11
15,1,9
15,3,4
15,7,13
15,8,2
15,10,0
15,13,6
