588,MiaoAlgo,i01
NrSuccesfullMatchings,2315,NrInfeasibleMatchings,0
Time,Value 
Final, 2903,0

Round,H_team,A_team 
0,21,0
0,4,1
0,3,2
0,9,5
0,6,11
0,7,8
0,10,14
0,12,13
0,16,15
0,20,17
0,18,19
0,22,26
0,24,23
0,27,25
0,28,33
0,29,32
0,31,30
1,0,7
1,2,1
1,4,3
1,5,18
1,12,6
1,8,21
1,20,9
1,19,10
1,15,11
1,14,13
1,17,16
1,25,22
1,30,23
1,24,31
1,26,28
1,27,29
1,32,33
2,0,2
2,1,7
2,3,18
2,8,4
2,10,5
2,13,6
2,9,12
2,11,14
2,17,15
2,16,20
2,19,21
2,22,27
2,23,31
2,32,24
2,30,25
2,33,26
2,28,29
3,1,0
3,4,2
3,7,3
3,5,19
3,6,15
3,18,8
3,13,9
3,20,10
3,11,16
3,14,12
3,21,17
3,29,22
3,33,23
3,24,30
3,25,28
3,26,27
3,31,32
4,0,4
4,8,1
4,2,7
4,19,3
4,12,5
4,16,6
4,14,9
4,10,13
4,17,11
4,15,20
4,21,18
4,22,31
4,23,32
4,26,24
4,25,29
4,27,28
4,30,33
5,3,0
5,1,21
5,2,8
5,7,4
5,5,14
5,6,17
5,9,10
5,11,20
5,15,12
5,13,19
5,18,16
5,28,22
5,23,25
5,33,24
5,29,26
5,31,27
5,32,30
