10000,MiaoAlgo,i02
NrSuccesfullMatchings,2682,NrInfeasibleMatchings,0
Time,Value 
Final, 4031,0

Round,H_team,A_team 
0,0,10
0,20,1
0,21,2
0,4,3
0,5,15
0,6,7
0,9,8
0,12,11
0,19,13
0,18,14
0,16,17
0,25,22
0,23,24
0,26,34
0,27,39
0,32,28
0,33,29
0,30,31
0,36,35
0,37,38
1,8,0
1,1,17
1,2,19
1,3,18
1,14,4
1,10,5
1,11,6
1,7,12
1,15,9
1,13,21
1,24,16
1,22,20
1,23,25
1,39,26
1,31,27
1,28,33
1,29,32
1,34,30
1,35,37
1,36,38
2,15,0
2,16,1
2,13,2
2,3,14
2,18,4
2,9,5
2,12,6
2,7,11
2,10,8
2,17,21
2,25,19
2,20,23
2,24,22
2,26,31
2,27,33
2,28,29
2,30,32
2,38,34
2,35,39
2,37,36
3,0,1
3,6,2
3,19,3
3,4,7
3,5,8
3,9,10
3,18,11
3,12,13
3,14,15
3,16,22
3,17,23
3,20,24
3,21,25
3,26,30
3,29,27
3,31,28
3,32,36
3,33,35
3,37,34
3,39,38
4,0,9
4,1,21
4,2,12
4,3,6
4,11,4
4,14,5
4,7,18
4,8,15
4,10,13
4,23,16
4,22,17
4,19,20
4,25,24
4,38,26
4,30,27
4,28,37
4,35,29
4,34,31
4,33,32
4,36,39
5,5,0
5,1,9
5,2,25
5,11,3
5,4,12
5,6,18
5,13,7
5,8,14
5,15,10
5,21,16
5,17,20
5,24,19
5,22,23
5,32,26
5,27,28
5,29,30
5,31,33
5,34,36
5,38,35
5,39,37
