154,MiaoAlgo,i02
NrSuccesfullMatchings,2820,NrInfeasibleMatchings,0
Time,Value 
Final, 4031,0

Round,H_team,A_team 
0,1,0
0,21,2
0,3,4
0,5,15
0,7,6
0,8,9
0,14,10
0,11,12
0,18,13
0,17,16
0,25,19
0,24,20
0,22,23
0,26,39
0,33,27
0,28,29
0,31,30
0,32,34
0,35,37
0,36,38
1,0,5
1,16,1
1,2,13
1,14,3
1,4,18
1,6,11
1,12,7
1,10,8
1,15,9
1,21,17
1,19,20
1,24,22
1,23,25
1,34,26
1,30,27
1,28,32
1,29,33
1,39,31
1,35,36
1,38,37
2,9,0
2,1,22
2,25,2
2,18,3
2,4,14
2,10,5
2,12,6
2,7,11
2,15,8
2,13,19
2,16,21
2,17,24
2,20,23
2,26,30
2,27,28
2,29,32
2,31,33
2,37,34
2,38,35
2,36,39
3,0,10
3,17,1
3,11,2
3,3,7
3,6,4
3,5,9
3,8,19
3,18,12
3,21,13
3,14,15
3,23,16
3,22,20
3,24,25
3,26,31
3,32,27
3,28,35
3,30,29
3,33,36
3,34,38
3,39,37
4,0,8
4,9,1
4,2,16
4,12,3
4,4,7
4,5,14
4,6,18
4,10,15
4,13,11
4,20,17
4,19,22
4,25,21
4,23,24
4,29,26
4,27,31
4,33,28
4,30,32
4,35,34
4,37,36
4,38,39
5,15,0
5,1,21
5,2,12
5,3,6
5,13,4
5,8,5
5,7,14
5,9,10
5,11,18
5,16,24
5,22,17
5,19,23
5,20,25
5,37,26
5,27,29
5,36,28
5,34,30
5,31,38
5,32,33
5,39,35
