10000,MiaoAlgo,i01
NrSuccesfullMatchings,2431,NrInfeasibleMatchings,0
Time,Value 
Final, 2906,0

Round,H_team,A_team 
0,0,4
0,1,2
0,18,3
0,6,5
0,7,8
0,9,10
0,11,14
0,13,12
0,15,16
0,17,20
0,21,19
0,22,26
0,23,24
0,27,25
0,28,33
0,29,32
0,31,30
1,0,2
1,8,1
1,3,21
1,4,7
1,5,9
1,11,6
1,10,13
1,14,12
1,15,17
1,16,20
1,19,18
1,25,22
1,23,31
1,30,24
1,26,28
1,27,29
1,32,33
2,1,0
2,2,7
2,4,3
2,19,5
2,12,6
2,8,21
2,9,11
2,10,18
2,13,14
2,20,15
2,17,16
2,22,27
2,32,23
2,24,31
2,30,25
2,33,26
2,28,29
3,0,3
3,7,1
3,2,8
3,18,4
3,5,10
3,6,13
3,12,9
3,15,11
3,14,16
3,21,17
3,20,19
3,29,22
3,23,30
3,33,24
3,25,28
3,26,27
3,31,32
4,8,0
4,4,1
4,3,2
4,13,5
4,16,6
4,21,7
4,19,9
4,10,12
4,11,20
4,14,15
4,17,18
4,22,31
4,26,23
4,24,32
4,25,29
4,27,28
4,30,33
5,7,0
5,1,21
5,2,4
5,3,19
5,5,14
5,6,17
5,18,8
5,9,13
5,20,10
5,16,11
5,12,15
5,28,22
5,33,23
5,24,25
5,29,26
5,31,27
5,32,30
