1217,MiaoAlgo,i02
NrSuccesfullMatchings,2311,NrInfeasibleMatchings,0
Time,Value 
Final, 4030,0

Round,H_team,A_team 
0,0,15
0,22,1
0,21,2
0,3,4
0,9,5
0,7,6
0,8,10
0,11,12
0,13,19
0,18,14
0,16,17
0,25,20
0,24,23
0,26,39
0,33,27
0,29,28
0,30,31
0,32,34
0,35,36
0,38,37
1,10,0
1,16,1
1,2,13
1,14,3
1,4,18
1,5,8
1,6,11
1,12,7
1,15,9
1,20,17
1,19,21
1,24,22
1,23,25
1,31,26
1,27,30
1,28,33
1,34,29
1,36,32
1,38,35
1,39,37
2,0,9
2,1,8
2,11,2
2,3,6
2,7,4
2,15,5
2,10,14
2,18,12
2,13,20
2,21,16
2,17,24
2,25,19
2,23,22
2,26,30
2,31,27
2,28,32
2,29,33
2,37,34
2,35,39
2,36,38
3,8,0
3,9,1
3,17,2
3,18,3
3,4,19
3,5,10
3,6,12
3,11,7
3,21,13
3,14,15
3,24,16
3,20,23
3,22,25
3,26,37
3,27,28
3,32,29
3,30,35
3,39,31
3,33,36
3,34,38
4,0,5
4,1,17
4,2,6
4,3,11
4,14,4
4,7,18
4,8,9
4,10,15
4,12,13
4,16,22
4,19,23
4,20,24
4,25,21
4,38,26
4,29,27
4,28,31
4,30,34
4,33,32
4,37,35
4,36,39
5,1,0
5,2,25
5,12,3
5,4,11
5,5,14
5,6,18
5,13,7
5,15,8
5,9,10
5,23,16
5,17,21
5,19,24
5,22,20
5,27,26
5,34,28
5,31,29
5,32,30
5,35,33
5,37,36
5,39,38
