2486,MiaoAlgo,i01
NrSuccesfullMatchings,2273,NrInfeasibleMatchings,0
Time,Value 
Final, 2943,0

Round,H_team,A_team 
0,4,0
0,2,1
0,18,3
0,9,5
0,6,14
0,8,7
0,10,19
0,16,11
0,12,13
0,15,20
0,21,17
0,22,25
0,24,23
0,26,27
0,28,29
0,31,30
0,33,32
1,0,2
1,1,8
1,4,3
1,5,12
1,13,6
1,7,21
1,10,9
1,14,11
1,16,15
1,20,17
1,19,18
1,30,22
1,32,23
1,24,33
1,25,27
1,26,28
1,29,31
2,1,0
2,2,8
2,3,21
2,7,4
2,19,5
2,11,6
2,9,13
2,15,10
2,12,14
2,17,16
2,20,18
2,22,26
2,23,33
2,30,24
2,28,25
2,27,29
2,32,31
3,8,0
3,21,1
3,4,2
3,3,19
3,5,10
3,6,12
3,18,7
3,11,9
3,14,13
3,17,15
3,16,20
3,29,22
3,31,23
3,24,32
3,25,26
3,27,28
3,33,30
4,0,3
4,1,4
4,7,2
4,13,5
4,15,6
4,21,8
4,12,9
4,10,18
4,20,11
4,14,16
4,19,17
4,22,27
4,23,28
4,26,24
4,25,31
4,29,33
4,30,32
5,0,7
5,3,1
5,2,21
5,8,4
5,5,20
5,6,16
5,9,14
5,17,10
5,11,15
5,18,12
5,13,19
5,28,22
5,23,30
5,27,24
5,33,25
5,31,26
5,32,29
