588,MiaoAlgo,i06
NrSuccesfullMatchings,3547,NrInfeasibleMatchings,287
Time,Value 
0,195633
Final, 191329,12

Round,H_team,A_team 
0,25,0
0,1,22
0,33,2
0,26,3
0,11,4
0,12,5
0,6,15
0,8,7
0,9,10
0,13,21
0,16,14
0,28,17
0,19,18
0,27,20
0,24,23
0,29,30
0,32,31
0,42,34
0,47,35
0,43,36
0,37,57
0,38,39
0,41,40
0,44,54
0,45,55
0,59,46
0,49,48
0,50,51
0,52,53
0,58,56
0,61,60
0,62,63
0,64,65
0,137,66
0,67,68
0,69,70
0,71,140
0,87,72
0,101,73
0,114,74
0,76,75
0,77,102
0,138,78
0,89,79
0,80,81
0,83,82
0,85,84
0,86,142
0,88,141
0,91,90
0,92,99
0,93,95
0,135,94
0,108,96
0,97,124
0,100,98
0,104,103
0,105,123
0,107,106
0,109,110
0,112,111
0,113,116
0,139,115
0,118,117
0,120,119
0,122,121
0,125,149
0,136,126
0,128,127
0,131,129
0,130,146
0,132,143
0,133,134
0,144,145
0,147,148
0,150,151
0,153,152
0,171,154
0,158,155
0,156,192
0,157,213
0,159,210
0,160,208
0,169,161
0,215,162
0,163,165
0,202,164
0,168,166
0,167,209
0,180,170
0,200,172
0,182,173
0,181,174
0,175,179
0,187,176
0,177,191
0,196,178
0,184,183
0,219,185
0,195,186
0,220,188
0,221,189
0,190,211
0,194,193
0,197,198
0,218,199
0,201,212
0,203,204
0,206,205
0,214,207
0,216,217
0,231,222
0,229,223
0,224,240
0,226,225
0,230,227
0,228,241
0,232,237
0,233,238
0,239,234
0,236,235
0,242,248
0,243,244
0,249,245
0,246,252
0,253,247
0,251,250
0,267,254
0,322,255
0,256,259
0,257,272
0,290,258
0,260,261
0,262,263
0,282,264
0,317,265
0,266,271
0,270,268
0,269,293
0,291,273
0,292,274
0,296,275
0,300,276
0,299,277
0,278,324
0,279,316
0,280,287
0,281,323
0,283,284
0,306,285
0,307,286
0,289,288
0,295,294
0,297,298
0,305,301
0,303,302
0,304,310
0,309,308
0,312,311
0,325,313
0,315,314
0,318,319
0,321,320
0,326,328
0,370,327
0,329,365
0,330,331
0,332,333
0,354,334
0,335,336
0,339,337
0,338,345
0,340,342
0,346,341
0,371,343
0,349,344
0,347,366
0,348,352
0,350,357
0,351,364
0,360,353
0,356,355
0,358,359
0,363,361
0,362,367
0,368,369
0,373,372
0,393,374
0,375,376
0,377,378
0,379,389
0,400,380
0,381,382
0,384,383
0,406,385
0,396,386
0,388,387
0,390,403
0,391,399
0,395,392
0,394,407
0,398,397
0,402,401
0,405,404
0,410,408
0,409,411
0,412,413
0,414,429
0,416,415
0,425,417
0,475,418
0,485,419
0,420,421
0,451,422
0,424,423
0,426,488
0,438,427
0,428,436
0,443,430
0,442,431
0,432,484
0,433,435
0,434,456
0,437,464
0,439,445
0,448,440
0,449,441
0,444,454
0,483,446
0,472,447
0,453,450
0,452,469
0,487,455
0,457,458
0,473,459
0,474,460
0,461,462
0,481,463
0,467,465
0,468,466
0,489,470
0,486,471
0,477,476
0,478,479
0,482,480
0,490,491
0,492,493
0,502,494
0,497,495
0,496,520
0,499,498
0,500,548
0,501,549
0,512,503
0,505,504
0,506,573
0,508,507
0,509,550
0,564,510
0,511,574
0,513,575
0,514,515
0,516,576
0,517,518
0,519,578
0,521,568
0,551,522
0,523,535
0,524,533
0,525,526
0,527,532
0,528,561
0,530,529
0,531,562
0,556,534
0,541,536
0,537,566
0,538,565
0,579,539
0,540,563
0,557,542
0,547,543
0,545,544
0,546,577
0,553,552
0,567,554
0,558,555
0,560,559
0,569,570
0,571,572
0,582,580
0,581,584
0,583,599
0,590,585
0,596,586
0,588,587
0,593,589
0,595,591
0,592,594
0,597,598
0,600,626
0,648,601
0,655,602
0,603,652
0,604,651
0,605,610
0,606,630
0,607,631
0,647,608
0,639,609
0,612,611
0,623,613
0,656,614
0,622,615
0,616,625
0,617,635
0,638,618
0,619,637
0,620,624
0,621,649
0,627,650
0,657,628
0,632,629
0,640,633
0,634,636
0,641,643
0,642,644
0,646,645
0,654,653
0,691,658
0,659,707
0,660,699
0,663,661
0,662,687
0,664,703
0,665,669
0,666,705
0,700,667
0,668,678
0,709,670
0,671,679
0,672,714
0,693,673
0,694,674
0,688,675
0,690,676
0,713,677
0,680,715
0,702,681
0,704,682
0,689,683
0,684,685
0,686,698
0,692,706
0,710,695
0,696,701
0,697,708
0,712,711
0,717,716
1,3,0
1,1,33
1,2,26
1,4,5
1,27,6
1,7,10
1,9,8
1,12,11
1,13,24
1,19,14
1,15,25
1,28,16
1,21,17
1,20,18
1,23,22
1,31,29
1,30,32
1,34,40
1,35,62
1,36,50
1,38,37
1,60,39
1,57,41
1,42,43
1,63,44
1,49,45
1,46,65
1,47,48
1,59,51
1,54,52
1,53,58
1,55,56
1,61,64
1,66,67
1,68,80
1,77,69
1,70,78
1,83,71
1,72,142
1,73,82
1,79,74
1,85,75
1,101,76
1,81,109
1,95,84
1,143,86
1,151,87
1,121,88
1,89,133
1,90,136
1,139,91
1,98,92
1,94,93
1,111,96
1,97,104
1,99,100
1,112,102
1,125,103
1,106,105
1,108,107
1,110,126
1,113,114
1,115,116
1,117,119
1,120,118
1,124,122
1,123,128
1,127,150
1,129,130
1,132,131
1,134,135
1,137,138
1,141,140
1,144,147
1,146,145
1,148,149
1,152,218
1,153,157
1,154,194
1,155,215
1,212,156
1,204,158
1,160,159
1,161,162
1,183,163
1,221,164
1,165,169
1,166,214
1,167,168
1,179,170
1,178,171
1,172,217
1,173,200
1,174,196
1,175,181
1,211,176
1,197,177
1,213,180
1,184,182
1,185,199
1,186,219
1,189,187
1,188,203
1,190,193
1,191,192
1,195,220
1,216,198
1,206,201
1,205,202
1,210,207
1,209,208
1,222,226
1,223,232
1,224,233
1,229,225
1,227,231
1,228,230
1,234,236
1,235,239
1,237,238
1,241,240
1,242,251
1,246,243
1,245,244
1,247,248
1,252,249
1,253,250
1,254,265
1,317,255
1,295,256
1,268,257
1,258,280
1,319,259
1,309,260
1,261,272
1,262,318
1,263,297
1,294,264
1,275,266
1,271,267
1,269,270
1,273,308
1,274,325
1,277,276
1,286,278
1,302,279
1,293,281
1,282,313
1,289,283
1,311,284
1,285,304
1,287,288
1,324,290
1,291,292
