588,MiaoAlgo,i02
NrSuccesfullMatchings,2613,NrInfeasibleMatchings,0
Time,Value 
Final, 4044,0

Round,H_team,A_team 
0,0,10
0,1,23
0,21,2
0,3,4
0,5,15
0,7,6
0,9,8
0,11,12
0,20,13
0,18,14
0,17,16
0,25,19
0,22,24
0,26,27
0,32,28
0,33,29
0,31,30
0,34,39
0,35,36
0,37,38
1,8,0
1,1,17
1,2,25
1,14,3
1,4,18
1,10,5
1,6,12
1,11,7
1,15,9
1,13,21
1,24,16
1,19,20
1,23,22
1,39,26
1,30,27
1,28,29
1,34,31
1,38,32
1,36,33
1,35,37
2,15,0
2,16,1
2,13,2
2,18,3
2,4,14
2,9,5
2,6,11
2,12,7
2,10,8
2,17,22
2,21,19
2,25,20
2,24,23
2,26,34
2,27,31
2,28,33
2,29,32
2,30,39
2,38,35
2,37,36
3,0,9
3,22,1
3,17,2
3,3,6
3,7,4
3,5,14
3,8,15
3,19,10
3,18,11
3,12,13
3,16,21
3,20,24
3,23,25
3,26,30
3,27,29
3,31,28
3,32,35
3,33,34
3,36,38
3,39,37
4,0,16
4,1,24
4,2,12
4,3,7
4,11,4
4,8,5
4,6,18
4,10,9
4,19,13
4,14,15
4,23,17
4,22,20
4,25,21
4,31,26
4,28,27
4,29,36
4,35,30
4,33,32
4,34,37
4,38,39
5,5,0
5,9,1
5,2,19
5,12,3
5,4,6
5,7,18
5,14,8
5,15,10
5,13,11
5,16,22
5,21,17
5,20,23
5,24,25
5,37,26
5,27,33
5,36,28
5,29,34
5,30,38
5,32,31
5,39,35
