5003,MiaoAlgo,i01
NrSuccesfullMatchings,2581,NrInfeasibleMatchings,0
Time,Value 
Final, 2913,0

Round,H_team,A_team 
0,21,0
0,4,1
0,3,2
0,9,5
0,6,11
0,7,8
0,10,14
0,12,13
0,15,16
0,20,17
0,18,19
0,22,26
0,23,24
0,27,25
0,28,33
0,29,32
0,31,30
1,0,7
1,2,1
1,4,3
1,5,12
1,6,13
1,8,18
1,14,9
1,19,10
1,16,11
1,15,20
1,17,21
1,25,22
1,23,31
1,30,24
1,26,28
1,27,29
1,32,33
2,0,2
2,1,7
2,3,18
2,8,4
2,10,5
2,17,6
2,9,12
2,11,15
2,13,14
2,20,16
2,19,21
2,22,27
2,32,23
2,24,31
2,30,25
2,33,26
2,28,29
3,1,0
3,4,2
3,7,3
3,5,19
3,12,6
3,21,8
3,13,9
3,18,10
3,11,20
3,14,16
3,15,17
3,29,22
3,23,30
3,33,24
3,25,28
3,26,27
3,31,32
4,0,4
4,8,1
4,2,7
4,19,3
4,20,5
4,6,15
4,10,9
4,17,11
4,14,12
4,16,13
4,21,18
4,22,31
4,26,23
4,24,32
4,25,29
4,27,28
4,30,33
5,3,0
5,1,21
5,2,8
5,7,4
5,5,6
5,9,19
5,13,10
5,11,14
5,12,15
5,16,17
5,18,20
5,28,22
5,33,23
5,24,25
5,29,26
5,31,27
5,32,30
