154,MiaoAlgo,i01
NrSuccesfullMatchings,2528,NrInfeasibleMatchings,0
Time,Value 
Final, 2915,0

Round,H_team,A_team 
0,0,4
0,1,2
0,18,3
0,9,5
0,6,12
0,7,8
0,10,19
0,11,20
0,13,14
0,15,16
0,21,17
0,22,26
0,24,23
0,27,25
0,28,33
0,29,32
0,31,30
1,0,2
1,8,1
1,3,21
1,4,7
1,5,13
1,15,6
1,10,9
1,16,11
1,14,12
1,17,20
1,19,18
1,25,22
1,30,23
1,24,31
1,26,28
1,27,29
1,32,33
2,1,0
2,2,7
2,4,3
2,19,5
2,6,14
2,8,21
2,9,18
2,20,10
2,11,15
2,12,13
2,16,17
2,22,27
2,23,31
2,32,24
2,30,25
2,33,26
2,28,29
3,0,3
3,7,1
3,2,8
3,18,4
3,5,10
3,13,6
3,12,9
3,14,11
3,15,17
3,20,16
3,21,19
3,29,22
3,33,23
3,24,30
3,25,28
3,26,27
3,31,32
4,8,0
4,4,1
4,3,2
4,17,5
4,6,9
4,21,7
4,10,18
4,11,13
4,16,12
4,14,15
4,19,20
4,22,31
4,23,32
4,26,24
4,25,29
4,27,28
4,30,33
5,7,0
5,1,21
5,2,4
5,3,19
5,5,6
5,18,8
5,9,14
5,12,10
5,17,11
5,13,16
5,20,15
5,28,22
5,23,25
5,33,24
5,29,26
5,31,27
5,32,30
