42,MiaoAlgo,i02
NrSuccesfullMatchings,2528,NrInfeasibleMatchings,0
Time,Value 
Final, 4074,0

Round,H_team,A_team 
0,0,1
0,21,2
0,3,4
0,5,15
0,6,7
0,8,10
0,9,20
0,12,11
0,19,13
0,18,14
0,17,16
0,25,22
0,24,23
0,26,27
0,32,28
0,33,29
0,31,30
0,34,39
0,35,36
0,38,37
1,0,9
1,1,17
1,2,25
1,3,18
1,14,4
1,10,5
1,12,6
1,7,11
1,15,8
1,13,21
1,16,24
1,20,19
1,23,22
1,31,26
1,27,30
1,28,33
1,29,32
1,34,38
1,39,35
1,37,36
2,20,0
2,16,1
2,13,2
2,19,3
2,4,18
2,5,8
2,11,6
2,7,12
2,15,9
2,10,14
2,21,17
2,22,24
2,25,23
2,26,39
2,27,31
2,28,29
2,30,32
2,36,33
2,37,34
2,38,35
3,0,15
3,8,1
3,6,2
3,14,3
3,4,11
3,9,5
3,18,7
3,19,10
3,12,13
3,21,16
3,17,22
3,23,20
3,24,25
3,26,30
3,33,27
3,31,28
3,29,34
3,32,36
3,35,37
3,39,38
4,8,0
4,1,9
4,2,19
4,3,12
4,7,4
4,14,5
4,18,6
4,10,15
4,11,13
4,22,16
4,23,17
4,20,24
4,25,21
4,37,26
4,27,29
4,28,35
4,30,39
4,34,31
4,33,32
4,36,38
5,5,0
5,1,21
5,2,7
5,6,3
5,4,12
5,9,8
5,13,10
5,11,18
5,15,14
5,16,23
5,17,25
5,24,19
5,22,20
5,38,26
5,32,27
5,36,28
5,29,31
5,30,34
5,35,33
5,39,37
