42,MiaoAlgo,i01
NrSuccesfullMatchings,2315,NrInfeasibleMatchings,0
Time,Value 
Final, 2921,0

Round,H_team,A_team 
0,0,2
0,21,1
0,4,3
0,9,5
0,6,14
0,7,8
0,20,10
0,11,16
0,12,13
0,17,15
0,18,19
0,22,26
0,23,24
0,27,25
0,28,33
0,29,32
0,31,30
1,8,0
1,1,2
1,3,18
1,4,7
1,5,12
1,6,13
1,10,9
1,14,11
1,15,16
1,20,17
1,19,21
1,25,22
1,23,31
1,30,24
1,26,28
1,27,29
1,32,33
2,0,1
2,2,7
2,19,3
2,8,4
2,13,5
2,11,6
2,9,21
2,10,18
2,12,14
2,15,20
2,16,17
2,22,27
2,32,23
2,24,31
2,30,25
2,33,26
2,28,29
3,4,0
3,7,1
3,2,8
3,21,3
3,5,19
3,6,12
3,18,9
3,13,10
3,17,11
3,14,15
3,16,20
3,29,22
3,23,30
3,33,24
3,25,28
3,26,27
3,31,32
4,0,7
4,1,4
4,3,2
4,10,5
4,15,6
4,8,18
4,12,9
4,20,11
4,14,13
4,19,16
4,21,17
4,22,31
4,26,23
4,24,32
4,25,29
4,27,28
4,30,33
5,3,0
5,1,8
5,2,4
5,5,20
5,16,6
5,7,21
5,9,14
5,17,10
5,11,15
5,18,12
5,13,19
5,28,22
5,33,23
5,24,25
5,29,26
5,31,27
5,32,30
