5003,MiaoAlgo,i02
NrSuccesfullMatchings,2722,NrInfeasibleMatchings,0
Time,Value 
Final, 4025,0

Round,H_team,A_team 
0,0,10
0,22,1
0,13,2
0,4,3
0,5,15
0,6,7
0,9,8
0,11,12
0,18,14
0,16,17
0,20,19
0,25,21
0,24,23
0,26,39
0,33,27
0,28,29
0,30,31
0,32,34
0,35,36
0,38,37
1,8,0
1,1,16
1,2,21
1,3,18
1,14,4
1,10,5
1,12,6
1,7,11
1,15,9
1,13,19
1,17,20
1,24,22
1,23,25
1,31,26
1,27,30
1,34,28
1,29,33
1,35,32
1,36,38
1,39,37
2,9,0
2,17,1
2,25,2
2,19,3
2,4,18
2,5,8
2,11,6
2,7,12
2,10,13
2,15,14
2,21,16
2,20,24
2,23,22
2,26,34
2,27,31
2,28,33
2,36,29
2,30,32
2,37,35
2,38,39
3,0,15
3,1,21
3,11,2
3,3,14
3,4,12
3,5,9
3,6,13
3,18,7
3,8,10
3,16,23
3,24,17
3,19,25
3,22,20
3,26,30
3,28,27
3,32,29
3,31,37
3,33,35
3,34,38
3,39,36
4,1,0
4,2,16
4,3,6
4,7,4
4,14,5
4,8,15
4,10,9
4,13,11
4,12,18
4,17,22
4,21,19
4,23,20
4,25,24
4,27,26
4,36,28
4,29,31
4,30,39
4,33,32
4,37,34
4,35,38
5,0,5
5,9,1
5,2,7
5,12,3
5,6,4
5,14,8
5,15,10
5,18,11
5,20,13
5,16,24
5,21,17
5,19,23
5,22,25
5,38,26
5,29,27
5,32,28
5,34,30
5,31,33
5,39,35
5,37,36
