2486,MiaoAlgo,i02
NrSuccesfullMatchings,2494,NrInfeasibleMatchings,0
Time,Value 
Final, 4058,0

Round,H_team,A_team 
0,0,15
0,16,1
0,21,2
0,3,14
0,4,18
0,9,5
0,6,7
0,8,10
0,12,11
0,19,13
0,17,23
0,25,20
0,22,24
0,26,39
0,33,27
0,28,34
0,29,35
0,30,31
0,32,36
0,37,38
1,9,0
1,5,1
1,2,25
1,18,3
1,14,4
1,11,6
1,7,12
1,15,8
1,10,19
1,13,21
1,24,16
1,20,17
1,23,22
1,31,26
1,27,30
1,28,29
1,38,32
1,34,33
1,35,36
1,39,37
2,0,8
2,1,22
2,13,2
2,4,3
2,15,5
2,6,12
2,11,7
2,10,9
2,14,18
2,16,17
2,19,20
2,25,21
2,23,24
2,26,30
2,27,28
2,29,33
2,31,32
2,34,38
2,37,35
2,36,39
3,0,10
3,17,1
3,12,2
3,3,11
3,4,13
3,8,5
3,6,14
3,18,7
3,9,15
3,21,16
3,22,19
3,20,23
3,24,25
3,26,27
3,33,28
3,32,29
3,30,37
3,39,31
3,35,34
3,38,36
4,5,0
4,1,9
4,2,17
4,7,3
4,11,4
4,18,6
4,14,8
4,10,15
4,13,12
4,16,22
4,25,19
4,24,20
4,23,21
4,34,26
4,27,29
4,28,31
4,30,39
4,33,32
4,35,38
4,36,37
5,1,0
5,2,6
5,3,13
5,7,4
5,5,10
5,8,9
5,21,11
5,12,18
5,15,14
5,20,16
5,17,24
5,19,23
5,22,25
5,38,26
5,31,27
5,32,28
5,29,30
5,36,33
5,37,34
5,39,35
