396,MiaoAlgo,i02
NrSuccesfullMatchings,2603,NrInfeasibleMatchings,0
Time,Value 
Final, 4027,0

Round,H_team,A_team 
0,9,0
0,23,1
0,13,2
0,3,4
0,5,15
0,7,6
0,8,10
0,12,11
0,18,14
0,16,17
0,19,20
0,25,21
0,24,22
0,26,27
0,32,28
0,33,29
0,30,31
0,34,37
0,35,39
0,36,38
1,0,8
1,1,16
1,2,19
1,14,3
1,4,18
1,10,5
1,6,12
1,11,7
1,15,9
1,21,13
1,17,24
1,20,25
1,22,23
1,39,26
1,31,27
1,28,33
1,29,32
1,34,30
1,38,35
1,37,36
2,0,20
2,1,8
2,25,2
2,18,3
2,13,4
2,5,9
2,6,11
2,12,7
2,10,19
2,15,14
2,16,21
2,17,22
2,24,23
2,26,30
2,27,33
2,29,28
2,31,32
2,35,34
2,36,39
2,37,38
3,5,0
3,9,1
3,12,2
3,3,11
3,4,6
3,7,18
3,8,15
3,14,10
3,19,13
3,16,22
3,21,17
3,23,20
3,24,25
3,26,31
3,28,27
3,30,29
3,32,38
3,33,34
3,35,36
3,39,37
4,0,15
4,17,1
4,2,16
4,6,3
4,4,14
4,8,5
4,21,7
4,10,9
4,11,13
4,18,12
4,22,19
4,20,24
4,25,23
4,34,26
4,27,30
4,31,28
4,29,36
4,33,32
4,37,35
4,38,39
5,1,0
5,2,21
5,3,12
5,7,4
5,14,5
5,13,6
5,9,8
5,15,10
5,11,18
5,20,16
5,23,17
5,19,24
5,22,25
5,32,26
5,27,29
5,28,35
5,30,37
5,39,31
5,36,33
5,38,34
