1217,MiaoAlgo,i01
NrSuccesfullMatchings,2462,NrInfeasibleMatchings,0
Time,Value 
Final, 2903,0

Round,H_team,A_team 
0,0,4
0,1,2
0,18,3
0,13,5
0,6,11
0,7,8
0,9,10
0,12,14
0,16,15
0,17,20
0,21,19
0,22,25
0,24,23
0,26,33
0,28,27
0,29,32
0,31,30
1,0,2
1,8,1
1,3,21
1,4,7
1,5,9
1,12,6
1,20,10
1,16,11
1,14,13
1,15,17
1,19,18
1,30,22
1,32,23
1,24,31
1,25,28
1,26,27
1,33,29
2,1,0
2,2,7
2,4,3
2,19,5
2,9,6
2,8,21
2,10,18
2,11,14
2,13,12
2,20,15
2,17,16
2,22,26
2,23,31
2,30,24
2,27,25
2,28,29
2,32,33
3,0,3
3,7,1
3,2,8
3,18,4
3,5,12
3,6,13
3,14,9
3,10,19
3,11,15
3,16,20
3,21,17
3,27,22
3,33,23
3,24,32
3,25,26
3,31,28
3,29,30
4,8,0
4,4,1
4,3,2
4,14,5
4,15,6
4,21,7
4,12,9
4,13,10
4,17,11
4,19,16
4,20,18
4,22,31
4,23,27
4,33,24
4,25,29
4,26,28
4,30,32
5,7,0
5,1,21
5,2,4
5,3,19
5,5,17
5,6,16
5,18,8
5,9,13
5,10,12
5,11,20
5,15,14
5,28,22
5,23,30
5,27,24
5,32,25
5,29,26
5,31,33
