396,MiaoAlgo,i01
NrSuccesfullMatchings,2299,NrInfeasibleMatchings,0
Time,Value 
Final, 2925,0

Round,H_team,A_team 
0,0,4
0,2,1
0,18,3
0,9,5
0,6,11
0,7,8
0,10,14
0,12,13
0,15,16
0,20,17
0,21,19
0,22,26
0,24,23
0,27,25
0,28,33
0,29,32
0,31,30
1,2,0
1,8,1
1,19,3
1,4,7
1,5,18
1,6,12
1,14,9
1,13,10
1,11,16
1,20,15
1,17,21
1,25,22
1,23,31
1,30,24
1,26,27
1,29,28
1,32,33
2,0,8
2,1,21
2,7,2
2,3,4
2,10,5
2,17,6
2,9,13
2,15,11
2,12,14
2,16,20
2,19,18
2,22,27
2,32,23
2,24,31
2,30,25
2,28,26
2,33,29
3,1,0
3,3,2
3,8,4
3,5,12
3,6,15
3,21,7
3,18,9
3,20,10
3,14,11
3,13,19
3,16,17
3,29,22
3,23,30
3,26,24
3,25,33
3,27,28
3,31,32
4,7,0
4,4,1
4,2,8
4,21,3
4,19,5
4,13,6
4,12,9
4,10,18
4,11,20
4,14,16
4,17,15
4,22,31
4,33,23
4,24,32
4,25,28
4,26,29
4,30,27
5,0,19
5,1,7
5,4,2
5,3,20
5,5,13
5,16,6
5,8,21
5,9,10
5,11,17
5,18,12
5,15,14
5,28,22
5,23,26
5,33,24
5,31,25
5,27,29
5,32,30
