5003,MiaoAlgo,i06
NrSuccesfullMatchings,3863,NrInfeasibleMatchings,303
Time,Value 
0,195436
Final, 189789,12

Round,H_team,A_team 
0,25,0
0,33,1
0,27,2
0,15,3
0,11,4
0,12,5
0,6,26
0,7,8
0,9,10
0,13,20
0,16,14
0,17,18
0,21,19
0,28,22
0,24,23
0,29,30
0,31,32
0,62,34
0,42,35
0,43,36
0,37,39
0,59,38
0,40,41
0,44,63
0,49,45
0,46,56
0,48,47
0,51,50
0,53,52
0,58,54
0,61,55
0,60,57
0,65,64
0,138,66
0,150,67
0,137,68
0,70,69
0,88,71
0,86,72
0,73,126
0,114,74
0,75,76
0,77,102
0,151,78
0,89,79
0,101,80
0,113,81
0,82,83
0,85,84
0,87,140
0,90,91
0,136,92
0,93,95
0,135,94
0,127,96
0,97,147
0,139,98
0,99,100
0,103,104
0,105,107
0,106,108
0,110,109
0,112,111
0,115,116
0,117,118
0,119,120
0,121,122
0,124,123
0,128,125
0,129,143
0,130,132
0,131,146
0,134,133
0,142,141
0,144,145
0,149,148
0,152,153
0,154,192
0,215,155
0,156,191
0,157,213
0,158,211
0,159,210
0,160,190
0,162,161
0,163,165
0,202,164
0,166,209
0,168,167
0,169,188
0,177,170
0,171,208
0,200,172
0,182,173
0,181,174
0,175,178
0,187,176
0,196,179
0,180,195
0,184,183
0,220,185
0,219,186
0,221,189
0,194,193
0,198,197
0,218,199
0,201,212
0,204,203
0,205,206
0,214,207
0,216,217
0,230,222
0,228,223
0,224,240
0,225,226
0,227,241
0,229,231
0,232,237
0,233,238
0,239,234
0,236,235
0,242,248
0,243,244
0,249,245
0,246,252
0,253,247
0,251,250
0,254,273
0,317,255
0,256,272
0,257,325
0,290,258
0,299,259
0,260,261
0,262,263
0,282,264
0,322,265
0,266,271
0,267,276
0,268,293
0,270,269
0,292,274
0,296,275
0,300,277
0,278,324
0,279,287
0,280,316
0,281,323
0,283,284
0,306,285
0,307,286
0,288,289
0,291,313
0,295,294
0,298,297
0,305,301
0,303,302
0,304,310
0,308,309
0,311,312
0,315,314
0,318,319
0,321,320
0,370,326
0,328,327
0,329,366
0,330,332
0,364,331
0,347,333
0,354,334
0,335,336
0,339,337
0,338,345
0,351,340
0,342,341
0,343,371
0,349,344
0,346,365
0,348,368
0,350,355
0,353,352
0,357,356
0,358,359
0,360,369
0,363,361
0,362,367
0,373,372
0,406,374
0,375,383
0,405,376
0,377,378
0,379,389
0,400,380
0,381,382
0,390,384
0,404,385
0,398,386
0,388,387
0,391,392
0,394,393
0,396,395
0,397,399
0,401,402
0,411,403
0,407,409
0,408,410
0,412,413
0,414,429
0,415,416
0,482,417
0,419,418
0,421,420
0,480,422
0,424,423
0,425,485
0,426,488
0,484,427
0,428,436
0,430,431
0,432,464
0,433,435
0,434,456
0,437,454
0,438,460
0,439,445
0,449,440
0,448,441
0,442,443
0,444,455
0,483,446
0,472,447
0,452,450
0,453,451
0,457,458
0,473,459
0,461,462
0,481,463
0,465,466
0,467,468
0,474,469
0,487,470
0,486,471
0,475,492
0,476,477
0,478,479
0,489,493
0,491,490
0,502,494
0,495,573
0,496,497
0,499,498
0,500,579
0,501,575
0,512,503
0,505,504
0,506,564
0,508,507
0,509,549
0,527,510
0,511,574
0,513,520
0,515,514
0,516,577
0,517,518
0,519,578
0,521,568
0,522,554
0,523,533
0,524,536
0,526,525
0,528,561
0,530,529
0,531,562
0,546,532
0,556,534
0,541,535
0,537,566
0,567,538
0,539,565
0,540,548
0,542,576
0,547,543
0,545,544
0,551,550
0,553,552
0,557,555
0,558,563
0,560,559
0,569,570
0,571,572
0,582,580
0,581,584
0,583,599
0,590,585
0,596,586
0,588,587
0,597,589
0,595,591
0,593,592
0,598,594
0,600,626
0,648,601
0,655,602
0,603,652
0,604,651
0,605,610
0,606,630
0,607,632
0,647,608
0,639,609
0,611,612
0,623,613
0,656,614
0,622,615
0,616,625
0,617,635
0,638,618
0,619,637
0,620,624
0,621,649
0,627,650
0,657,628
0,631,629
0,640,633
0,634,636
0,641,642
0,643,644
0,645,646
0,654,653
0,691,658
0,659,707
0,660,699
0,661,687
0,662,663
0,664,703
0,665,669
0,666,705
0,700,667
0,668,678
0,709,670
0,671,679
0,672,714
0,693,673
0,694,674
0,688,675
0,690,676
0,713,677
0,680,715
0,702,681
0,704,682
0,689,683
0,684,685
0,686,698
0,692,706
0,710,695
0,696,701
0,697,708
0,712,711
0,717,716
1,3,0
1,1,6
1,2,33
1,4,5
1,9,7
1,8,10
1,11,12
1,13,23
1,17,14
1,15,25
1,28,16
1,19,18
1,21,20
1,22,24
1,27,26
1,32,29
1,30,31
1,34,44
1,35,62
1,36,41
1,37,51
1,39,38
1,57,40
1,42,43
1,45,48
1,63,46
1,47,49
1,59,50
1,52,58
1,54,53
1,56,55
1,60,64
1,61,65
1,66,110
1,67,68
1,69,78
1,111,70
1,71,83
1,72,141
1,73,88
1,116,74
1,85,75
1,101,76
1,77,89
1,79,84
1,80,81
1,82,87
1,136,86
1,139,90
1,91,92
1,94,93
1,95,134
1,100,96
1,123,97
1,98,99
1,112,102
1,122,103
1,125,104
1,105,115
1,107,106
1,108,121
1,109,126
1,113,114
1,117,119
1,120,118
1,143,124
1,128,127
1,130,129
1,132,131
1,133,135
1,137,138
1,142,140
1,144,149
1,146,145
1,148,147
1,151,150
1,152,218
1,153,157
1,179,154
1,155,158
1,212,156
1,160,159
1,161,215
1,211,162
1,183,163
1,221,164
1,165,169
1,166,168
1,167,194
1,178,170
1,203,171
1,172,217
1,173,200
1,174,196
1,175,181
1,210,176
1,198,177
1,213,180
1,182,184
1,185,199
1,186,220
1,189,187
1,188,204
1,190,207
1,192,191
1,214,193
1,195,219
1,216,197
1,206,201
1,205,202
1,209,208
1,222,226
1,223,232
1,224,233
1,230,225
1,227,229
1,228,231
1,234,240
1,235,241
1,237,236
1,238,239
1,242,251
1,246,243
1,245,244
1,247,248
1,252,249
1,253,250
1,275,254
1,286,255
1,261,256
1,269,257
1,258,279
1,319,259
1,272,260
1,262,318
1,263,298
1,294,264
1,317,265
1,308,266
1,271,267
1,268,270
1,273,309
1,274,313
1,276,277
1,285,278
1,290,280
1,293,281
1,295,282
1,288,283
1,312,284
1,289,287
1,292,291
1,296,300
1,297,299
1,301,304
1,302,305
1,323,303
1,307,306
1,324,310
1,320,311
1,325,314
1,316,315
1,322,321
1,327,326
1,370,328
1,329,362
1,330,331
1,333,332
1,334,339
1,361,335
1,336,343
1,337,352
1,338,363
1,342,340
1,341,354
1,344,345
1,366,346
1,365,347
1,348,358
1,371,349
1,350,353
1,351,364
1,355,356
1,367,357
1,369,359
1,368,360
