396,MiaoAlgo,i06
NrSuccesfullMatchings,3830,NrInfeasibleMatchings,267
Time,Value 
0,195617
Final, 190499,13

Round,H_team,A_team 
0,25,0
0,33,1
0,27,2
0,15,3
0,10,4
0,11,5
0,6,26
0,7,9
0,8,12
0,13,21
0,16,14
0,19,17
0,20,18
0,22,24
0,28,23
0,29,31
0,30,32
0,42,34
0,62,35
0,43,36
0,39,37
0,38,57
0,40,41
0,44,47
0,59,45
0,46,55
0,48,49
0,51,50
0,53,52
0,58,54
0,63,56
0,60,61
0,64,65
0,151,66
0,137,67
0,93,68
0,69,70
0,71,80
0,88,72
0,73,101
0,86,74
0,75,76
0,77,79
0,150,78
0,83,81
0,82,126
0,85,84
0,87,141
0,89,135
0,91,90
0,92,99
0,94,95
0,96,124
0,97,147
0,100,98
0,139,102
0,103,104
0,105,106
0,107,108
0,110,109
0,111,112
0,113,116
0,114,115
0,117,118
0,120,119
0,122,121
0,136,123
0,138,125
0,128,127
0,129,143
0,130,132
0,131,146
0,133,134
0,140,142
0,145,144
0,148,149
0,152,153
0,171,154
0,155,176
0,156,192
0,157,213
0,158,188
0,159,210
0,160,208
0,187,161
0,215,162
0,163,172
0,202,164
0,169,165
0,168,166
0,167,209
0,175,170
0,182,173
0,181,174
0,177,191
0,200,178
0,196,179
0,180,195
0,183,184
0,220,185
0,219,186
0,221,189
0,190,211
0,194,193
0,198,197
0,218,199
0,201,212
0,203,204
0,205,206
0,214,207
0,216,217
0,230,222
0,228,223
0,224,240
0,225,226
0,227,241
0,229,231
0,232,237
0,233,238
0,239,234
0,235,236
0,242,248
0,243,244
0,249,245
0,246,252
0,253,247
0,251,250
0,267,254
0,317,255
0,257,256
0,290,258
0,300,259
0,261,260
0,262,263
0,282,264
0,278,265
0,266,277
0,270,268
0,269,272
0,292,271
0,322,273
0,291,274
0,296,275
0,299,276
0,279,316
0,280,287
0,281,293
0,283,284
0,306,285
0,307,286
0,289,288
0,295,294
0,297,298
0,305,301
0,302,323
0,303,324
0,304,310
0,308,309
0,311,312
0,325,313
0,315,314
0,319,318
0,320,321
0,326,356
0,328,327
0,329,366
0,330,342
0,331,332
0,333,341
0,367,334
0,335,336
0,339,337
0,338,361
0,346,340
0,363,343
0,354,344
0,349,345
0,347,365
0,348,369
0,350,357
0,351,364
0,371,352
0,360,353
0,362,355
0,359,358
0,370,368
0,372,373
0,374,399
0,375,376
0,377,378
0,379,389
0,401,380
0,382,381
0,412,383
0,390,384
0,405,385
0,413,386
0,388,387
0,391,392
0,393,394
0,395,396
0,397,403
0,398,407
0,402,400
0,406,404
0,410,408
0,409,411
0,414,429
0,415,416
0,443,417
0,419,418
0,420,421
0,442,422
0,481,423
0,480,424
0,425,485
0,426,488
0,438,427
0,428,436
0,431,430
0,432,484
0,433,435
0,434,456
0,437,464
0,453,439
0,449,440
0,448,441
0,444,454
0,451,445
0,483,446
0,472,447
0,452,450
0,486,455
0,457,458
0,475,459
0,473,460
0,461,462
0,482,463
0,467,465
0,468,466
0,469,470
0,474,471
0,477,476
0,478,479
0,487,490
0,491,489
0,493,492
0,494,576
0,497,495
0,496,573
0,499,498
0,500,509
0,501,548
0,502,575
0,544,503
0,504,505
0,516,506
0,508,507
0,564,510
0,511,574
0,512,521
0,513,520
0,514,515
0,517,518
0,519,578
0,522,538
0,523,533
0,524,536
0,525,526
0,527,532
0,530,528
0,529,561
0,531,562
0,552,534
0,541,535
0,537,566
0,539,565
0,540,549
0,553,542
0,547,543
0,545,554
0,546,577
0,551,550
0,558,555
0,556,563
0,557,570
0,560,559
0,567,568
0,569,579
0,571,572
0,582,580
0,581,584
0,583,591
0,590,585
0,596,586
0,587,588
0,599,589
0,592,594
0,593,598
0,595,597
0,628,600
0,648,601
0,654,602
0,603,652
0,604,651
0,605,610
0,606,631
0,607,632
0,608,625
0,627,609
0,612,611
0,623,613
0,656,614
0,622,615
0,616,647
0,617,635
0,620,618
0,619,637
0,638,621
0,624,653
0,640,626
0,629,630
0,639,633
0,634,636
0,642,641
0,644,643
0,646,645
0,655,649
0,657,650
0,691,658
0,659,707
0,660,699
0,661,687
0,663,662
0,664,703
0,665,669
0,666,705
0,700,667
0,668,678
0,709,670
0,671,679
0,672,714
0,693,673
0,694,674
0,688,675
0,690,676
0,713,677
0,680,715
0,702,681
0,704,682
0,689,683
0,685,684
0,686,698
0,692,706
0,710,695
0,696,701
0,697,708
0,712,711
0,717,716
1,3,0
1,1,6
1,2,33
1,4,5
1,8,7
1,10,9
1,12,11
1,13,22
1,19,14
1,15,25
1,28,16
1,17,18
1,20,21
1,24,23
1,27,26
1,32,29
1,31,30
1,34,62
1,35,63
1,36,41
1,38,37
1,39,51
1,57,40
1,42,43
1,45,44
1,54,46
1,49,47
1,48,53
1,59,50
1,52,58
1,56,55
1,60,64
1,61,65
1,66,110
1,68,67
1,77,69
1,70,78
1,73,71
1,72,142
1,79,74
1,85,75
1,101,76
1,81,80
1,82,83
1,95,84
1,127,86
1,109,87
1,126,88
1,89,133
1,90,136
1,139,91
1,98,92
1,93,94
1,123,96
1,97,104
1,99,100
1,111,102
1,125,103
1,108,105
1,106,107
1,112,129
1,113,114
1,115,116
1,117,120
1,119,118
1,121,128
1,124,122
1,131,130
1,146,132
1,134,135
1,137,138
1,140,141
1,145,143
1,144,148
1,147,149
1,150,151
1,152,169
1,153,157
1,154,194
1,155,215
1,212,156
1,204,158
1,160,159
1,161,162
1,165,163
1,221,164
1,166,214
1,167,168
1,179,170
1,178,171
1,172,200
1,173,217
1,174,196
1,175,181
1,211,176
1,198,177
1,213,180
1,184,182
1,183,218
1,185,199
1,186,220
1,189,187
1,188,203
1,190,193
1,191,192
1,195,219
1,216,197
1,206,201
1,205,202
1,207,209
1,210,208
1,222,225
1,227,223
1,224,232
1,226,233
1,228,229
1,231,230
1,234,240
1,237,235
1,236,241
1,238,239
1,242,251
1,246,243
1,245,244
1,247,248
1,252,249
1,253,250
1,254,255
1,256,261
1,268,257
1,258,280
1,318,259
1,260,314
1,262,281
1,263,319
1,295,264
1,317,265
1,276,266
1,271,267
1,269,270
1,293,272
1,273,290
