Instance,LB,UB,gap 
BRA24_6,38745,38745,0.0 
BRA24_12,98815,98818,0.0 
BRA24_18,167657,167673,0.0 
CIRC40_10,560,560,0.0 
CIRC40_20,1760,1760,0.0 
CIRC40_30,3600,3600,0.0 
CON40_10,280,280,0.0 
CON40_20,560,560,0.0 
CON40_30,800,800,0.0 
GAL40_10,23617,23888,0.01 
GAL40_20,50962,52511,0.03 
GAL40_30,81661,81922,0.0 
INCR40_10,13284,13614,0.02 
INCR40_20,46402,47332,0.02 
INCR40_30,102306,102370,0.0 
LINE40_10,656,678,0.03 
LINE40_20,2322,2382,0.03 
LINE40_30,5118,5124,0.0 
N16_4,23625,23625,0.0 
N16_8,57263,57263,0.0 
N16_12,92580,92580,0.0 
NFL32_8,70127,70127,0.0 
NFL32_16,173493,175531,0.01 
NFL32_24,297068,297207,0.0 
