0,IP,i01
Time,Value 
Final, 2821,2821

Round,H_team,A_team 
0,0,8
0,7,1
0,4,2
0,18,3
0,9,5
0,6,11
0,10,13
0,12,14
0,16,15
0,21,17
0,20,19
0,22,26
0,33,23
0,24,32
0,28,25
0,27,29
0,31,30
1,4,0
1,3,1
1,2,7
1,5,18
1,17,6
1,8,21
1,14,9
1,19,10
1,15,11
1,12,13
1,20,16
1,30,22
1,23,24
1,25,27
1,26,28
1,29,33
1,32,31
2,3,0
2,1,4
2,2,18
2,13,5
2,16,6
2,7,8
2,9,12
2,10,20
2,11,14
2,17,15
2,19,21
2,22,27
2,30,23
2,24,31
2,26,25
2,28,29
2,32,33
3,0,7
3,1,2
3,21,3
3,8,4
3,5,19
3,6,13
3,18,9
3,12,10
3,16,11
3,14,15
3,20,17
3,25,22
3,31,23
3,24,30
3,27,26
3,33,28
3,29,32
4,0,2
4,8,1
4,4,3
4,10,5
4,6,12
4,21,7
4,13,9
4,11,17
4,14,16
4,15,20
4,19,18
4,22,28
4,23,32
4,26,24
4,25,29
4,27,31
4,30,33
5,1,0
5,2,8
5,3,19
5,7,4
5,5,12
5,15,6
5,9,10
5,11,20
5,13,14
5,17,16
5,18,21
5,23,22
5,33,24
5,31,25
5,29,26
5,28,27
5,32,30
