0,IP,i05
Time,Value 
Final, 222454,222454

Round,H_team,A_team 
0,13,0
0,1,8
0,3,2
0,22,4
0,5,6
0,21,7
0,10,9
0,12,11
0,14,20
0,16,15
0,18,17
0,23,19
0,24,78
0,25,30
0,26,93
0,43,27
0,44,28
0,29,32
0,31,87
0,33,86
0,34,37
0,35,45
0,36,38
0,39,85
0,40,42
0,56,41
0,61,46
0,62,47
0,49,48
0,51,50
0,52,53
0,59,54
0,55,60
0,57,58
0,75,63
0,74,64
0,94,65
0,95,66
0,67,91
0,68,69
0,71,70
0,72,73
0,77,76
0,80,79
0,84,81
0,82,83
0,88,90
0,89,92
0,96,134
0,129,97
0,102,98
0,115,99
0,100,114
0,101,106
0,178,103
0,104,105
0,107,109
0,116,108
0,160,110
0,177,111
0,157,112
0,113,119
0,117,131
0,118,133
0,120,150
0,142,121
0,122,124
0,123,126
0,125,127
0,128,146
0,140,130
0,155,132
0,136,135
0,139,137
0,138,147
0,180,141
0,143,162
0,144,163
0,145,166
0,148,149
0,151,152
0,161,153
0,174,154
0,181,156
0,159,158
0,164,165
0,167,168
0,179,169
0,170,171
0,172,173
0,176,175
0,187,182
0,183,190
0,184,186
0,185,189
0,192,188
0,193,191
0,194,203
0,230,195
0,197,196
0,211,198
0,200,199
0,202,201
0,204,215
0,205,216
0,206,208
0,207,209
0,212,210
0,213,214
0,217,239
0,218,219
0,223,220
0,224,221
0,226,222
0,228,225
0,227,231
0,234,229
0,233,232
0,236,235
0,237,238
0,240,254
0,241,242
0,277,243
0,270,244
0,246,245
0,247,252
0,248,261
0,250,249
0,256,251
0,273,253
0,271,255
0,258,257
0,272,259
0,291,260
0,262,263
0,264,290
0,265,266
0,267,269
0,284,268
0,280,274
0,294,275
0,276,283
0,278,282
0,279,281
0,285,287
0,286,295
0,288,289
0,292,293
0,305,296
0,297,298
0,299,303
0,324,300
0,302,301
0,322,304
0,327,306
0,308,307
0,309,312
0,318,310
0,326,311
0,314,313
0,315,320
0,316,321
0,319,317
0,323,325
0,328,330
0,379,329
0,331,421
0,332,336
0,333,378
0,372,334
0,406,335
0,337,358
0,338,360
0,348,339
0,340,341
0,343,342
0,371,344
0,345,346
0,357,347
0,349,367
0,350,352
0,353,351
0,361,354
0,355,362
0,356,407
0,359,373
0,370,363
0,364,365
0,368,366
0,417,369
0,420,374
0,375,376
0,398,377
0,380,395
0,381,419
0,382,392
0,409,383
0,385,384
0,388,386
0,387,396
0,389,390
0,391,397
0,393,410
0,399,394
0,400,418
0,402,401
0,403,404
0,405,408
0,412,411
0,414,413
0,416,415
0,433,422
0,423,444
0,424,434
0,435,425
0,497,426
0,427,432
0,450,428
0,429,443
0,430,446
0,437,431
0,436,439
0,476,438
0,441,440
0,442,449
0,455,445
0,477,447
0,448,456
0,451,452
0,460,453
0,475,454
0,500,457
0,468,458
0,459,469
0,461,466
0,463,462
0,464,465
0,484,467
0,498,470
0,471,472
0,474,473
0,478,495
0,499,479
0,488,480
0,481,482
0,483,493
0,487,485
0,486,501
0,491,489
0,490,492
0,496,494
0,507,502
0,504,503
0,505,525
0,506,526
0,508,511
0,509,510
0,512,519
0,513,517
0,527,514
0,515,522
0,516,524
0,523,518
0,520,521
0,528,563
0,529,537
0,530,538
0,531,532
0,533,569
0,551,534
0,539,535
0,550,536
0,548,540
0,541,553
0,554,542
0,555,543
0,549,544
0,545,547
0,552,546
0,556,559
0,558,557
0,568,560
0,574,561
0,562,583
0,564,578
0,577,565
0,576,566
0,567,572
0,570,571
0,573,575
0,582,579
0,581,580
0,586,584
0,585,587
0,601,588
0,592,589
0,590,617
0,591,593
0,599,594
0,597,595
0,626,596
0,609,598
0,612,600
0,602,603
0,608,604
0,605,610
0,606,623
0,607,622
0,624,611
0,615,613
0,616,614
0,618,619
0,621,620
0,627,625
0,631,628
0,629,648
0,630,640
0,633,632
0,639,634
0,636,635
0,637,638
0,642,641
0,643,644
0,645,649
0,646,647
0,650,683
0,666,651
0,657,652
0,667,653
0,654,655
0,668,656
0,691,658
0,659,664
0,660,670
0,661,669
0,662,686
0,665,663
0,671,674
0,672,675
0,673,692
0,690,676
0,677,682
0,678,689
0,679,688
0,695,680
0,681,693
0,685,684
0,687,694
0,708,696
0,697,699
0,707,698
0,700,737
0,701,726
0,702,713
0,703,704
0,718,705
0,706,725
0,724,709
0,710,728
0,711,720
0,712,717
0,714,716
0,722,715
0,719,732
0,721,738
0,733,723
0,727,739
0,730,729
0,734,731
0,735,736
0,741,740
0,742,745
0,746,743
0,744,752
0,755,747
0,754,748
0,753,749
0,750,751
0,756,758
0,785,757
0,759,767
0,760,762
0,761,770
0,765,763
0,769,764
0,766,768
0,771,784
0,773,772
0,774,777
0,786,775
0,782,776
0,778,779
0,780,787
0,783,781
0,788,789
0,790,794
0,791,806
0,796,792
0,814,793
0,795,807
0,798,797
0,805,799
0,801,800
0,803,802
0,809,804
0,815,808
0,817,810
0,812,811
0,816,813
1,0,5
1,6,1
1,2,10
1,4,3
1,7,8
1,9,12
1,11,13
1,15,14
1,21,16
1,19,17
1,20,18
1,22,23
1,53,24
1,79,25
1,26,33
1,27,52
1,42,28
1,29,80
1,30,31
1,32,48
1,47,34
1,46,35
1,37,36
1,38,41
1,45,39
1,88,40
1,43,44
1,50,49
1,55,51
1,54,56
1,57,59
1,60,58
1,90,61
1,87,62
1,65,63
1,66,64
1,68,67
1,69,74
1,70,81
1,72,71
1,73,77
1,93,75
1,92,76
1,78,82
1,83,84
1,86,85
1,91,89
1,94,95
1,105,96
1,133,97
1,121,98
1,99,102
1,100,101
1,119,103
1,104,134
1,106,109
1,107,181
1,123,108
1,112,110
1,111,113
1,122,114
1,116,115
1,117,129
1,118,128
1,152,120
1,124,126
1,125,151
1,150,127
1,131,130
1,136,132
1,162,135
1,137,138
1,155,139
1,140,164
1,141,145
1,146,142
1,144,143
1,148,147
1,149,174
1,157,153
1,154,177
1,173,156
1,161,158
1,160,159
1,175,163
1,165,179
1,166,180
1,167,178
1,168,171
1,170,169
1,176,172
1,191,182
1,183,185
1,192,184
1,186,193
1,187,190
1,188,189
1,197,194
1,198,195
1,196,239
1,199,201
1,202,200
1,203,204
1,233,205
1,206,213
1,208,207
1,209,230
1,211,210
1,214,212
1,216,215
1,227,217
1,237,218
1,238,219
1,231,220
1,225,221
1,222,234
1,223,224
1,229,226
1,235,228
1,232,236
1,240,248
1,293,241
1,242,249
1,243,250
1,244,245
1,273,246
1,258,247
1,283,251
1,253,252
1,255,254
1,295,256
1,257,272
1,259,271
1,260,261
1,262,292
1,294,263
1,266,264
1,282,265
1,274,267
1,286,268
1,269,275
1,288,270
1,277,276
1,289,278
1,279,285
1,281,280
1,287,284
1,290,291
1,296,307
1,297,325
1,306,298
1,305,299
1,304,300
1,324,301
1,323,302
1,303,308
1,322,309
1,310,314
1,311,317
1,312,320
1,313,319
1,316,315
1,326,318
1,321,327
1,328,411
1,330,329
1,331,417
1,332,367
1,349,333
1,334,414
1,335,401
1,369,336
1,337,357
1,338,373
1,339,340
1,341,402
1,342,348
1,356,343
1,344,347
1,368,345
1,346,366
1,351,350
1,352,353
1,360,354
1,355,370
1,358,359
1,362,361
1,363,365
1,364,371
1,378,372
1,374,375
1,376,412
1,377,379
1,380,381
1,382,383
1,384,399
1,385,419
1,396,386
1,387,416
1,388,397
1,389,398
1,390,403
1,421,391
1,392,393
1,394,418
1,395,400
1,415,404
1,405,406
1,408,407
1,410,409
1,413,420
1,422,452
1,423,468
1,424,425
1,426,427
1,428,433
1,477,429
1,439,430
1,431,455
1,432,434
1,497,435
1,438,436
1,437,481
1,440,449
1,474,441
1,443,442
1,444,445
1,446,454
1,447,448
1,451,450
1,453,469
1,456,478
1,457,466
1,458,471
1,460,459
1,461,500
1,462,498
1,465,463
1,464,499
1,472,467
1,495,470
1,473,475
1,482,476
1,489,479
1,480,496
1,483,492
1,488,484
1,485,486
1,501,487
1,490,491
1,493,494
1,506,502
1,503,524
1,504,507
1,518,505
1,514,508
1,517,509
1,510,526
1,511,512
1,513,515
1,525,516
1,519,523
1,522,520
1,521,527
1,528,530
1,538,529
1,550,531
1,583,532
1,535,533
1,547,534
1,536,539
1,537,546
1,540,549
1,542,541
1,543,548
1,544,554
1,553,545
1,552,551
1,555,570
1,560,556
1,580,557
1,568,558
1,561,559
1,564,562
1,572,563
1,565,566
1,567,578
1,571,569
1,574,573
1,575,582
1,576,577
1,579,581
1,598,584
1,597,585
1,599,586
1,591,587
1,602,588
1,600,589
1,627,590
1,601,592
1,593,609
1,594,595
1,596,612
1,626,603
1,604,618
1,613,605
1,611,606
1,610,607
1,608,616
1,614,615
1,620,617
1,619,621
1,625,622
1,623,624
1,649,628
1,629,631
1,630,634
1,632,646
1,636,633
1,635,648
1,647,637
1,639,638
1,640,643
1,641,645
1,644,642
1,656,650
1,651,652
1,653,657
1,654,672
1,655,666
1,658,695
1,659,660
1,661,694
1,663,662
1,664,665
1,669,667
1,668,670
1,686,671
1,693,673
1,675,674
1,676,677
1,681,678
1,689,679
1,680,692
1,682,687
1,683,685
1,688,684
1,691,690
1,696,701
1,718,697
1,698,703
1,699,709
1,724,700
1,737,702
1,704,714
1,705,722
1,706,707
1,726,708
1,710,730
1,715,711
1,739,712
1,716,713
1,717,720
1,731,719
1,723,721
1,725,735
1,732,727
1,729,728
1,733,738
1,736,734
1,747,740
1,743,741
1,744,742
1,745,746
1,748,750
1,749,754
1,751,753
1,755,752
