0,IP,i06
Time,Value 
Final, 176594,176583

Round,H_team,A_team 
0,26,0
0,1,6
0,2,5
0,25,3
0,4,15
0,7,8
0,10,9
0,12,11
0,13,18
0,20,14
0,33,16
0,31,17
0,19,30
0,24,21
0,27,22
0,28,23
0,32,29
0,34,49
0,62,35
0,51,36
0,37,39
0,43,38
0,41,40
0,42,50
0,48,44
0,47,45
0,54,46
0,52,65
0,64,53
0,55,63
0,58,56
0,61,57
0,59,60
0,138,66
0,67,68
0,70,69
0,71,73
0,86,72
0,74,81
0,76,75
0,77,79
0,97,78
0,113,80
0,82,83
0,93,84
0,85,133
0,87,126
0,88,142
0,89,94
0,90,91
0,92,100
0,134,95
0,96,124
0,99,98
0,135,101
0,137,102
0,103,104
0,105,150
0,106,107
0,108,123
0,109,110
0,111,112
0,127,114
0,116,115
0,119,117
0,120,118
0,121,122
0,125,148
0,128,151
0,129,146
0,130,145
0,131,132
0,139,136
0,141,140
0,143,144
0,149,147
0,152,153
0,166,154
0,215,155
0,156,198
0,157,199
0,158,161
0,159,210
0,160,162
0,163,169
0,202,164
0,218,165
0,168,167
0,196,170
0,171,191
0,200,172
0,183,173
0,178,174
0,181,175
0,187,176
0,197,177
0,192,179
0,180,184
0,182,213
0,185,188
0,219,186
0,221,189
0,211,190
0,194,193
0,195,220
0,201,212
0,203,204
0,206,205
0,207,209
0,214,208
0,217,216
0,227,222
0,229,223
0,224,234
0,225,228
0,230,226
0,231,241
0,232,237
0,233,238
0,235,240
0,239,236
0,242,251
0,243,250
0,247,244
0,253,245
0,246,252
0,249,248
0,267,254
0,317,255
0,256,268
0,257,300
0,290,258
0,319,259
0,261,260
0,298,262
0,299,263
0,282,264
0,293,265
0,266,277
0,269,270
0,292,271
0,272,318
0,291,273
0,276,274
0,275,313
0,322,278
0,279,316
0,305,280
0,281,325
0,283,284
0,306,285
0,307,286
0,302,287
0,323,288
0,304,289
0,294,295
0,297,296
0,301,303
0,309,308
0,324,310
0,311,312
0,315,314
0,320,321
0,326,352
0,327,337
0,339,328
0,329,355
0,330,347
0,341,331
0,332,342
0,340,333
0,356,334
0,338,335
0,336,354
0,343,361
0,363,344
0,345,349
0,346,365
0,348,368
0,350,357
0,351,366
0,370,353
0,359,358
0,360,369
0,362,367
0,371,364
0,380,372
0,373,381
0,374,412
0,376,375
0,377,378
0,379,404
0,382,385
0,387,383
0,396,384
0,394,386
0,407,388
0,401,389
0,390,408
0,391,395
0,413,392
0,393,397
0,398,399
0,406,400
0,405,402
0,410,403
0,409,411
0,414,443
0,462,415
0,483,416
0,420,417
0,418,467
0,485,419
0,421,465
0,422,424
0,480,423
0,425,460
0,426,488
0,481,427
0,442,428
0,456,429
0,430,431
0,432,484
0,434,433
0,435,436
0,437,464
0,438,448
0,453,439
0,440,441
0,444,454
0,449,445
0,446,447
0,450,469
0,452,451
