0,IP,i02
Time,Value 
Final, 3980,3980

Round,H_team,A_team 
0,0,8
0,16,1
0,13,2
0,4,3
0,5,10
0,12,6
0,7,11
0,9,15
0,18,14
0,22,17
0,20,19
0,25,21
0,24,23
0,26,39
0,33,27
0,29,28
0,31,30
0,32,37
0,38,34
0,35,36
1,10,0
1,1,20
1,2,21
1,3,18
1,14,4
1,15,5
1,6,7
1,8,9
1,11,12
1,19,13
1,17,16
1,24,22
1,23,25
1,34,26
1,27,30
1,35,28
1,29,33
1,31,32
1,36,37
1,39,38
2,9,0
2,21,1
2,25,2
2,13,3
2,4,18
2,5,8
2,11,6
2,7,12
2,10,19
2,15,14
2,22,16
2,17,23
2,20,24
2,26,31
2,27,29
2,28,32
2,30,34
2,36,33
2,38,35
2,37,39
3,0,15
3,1,9
3,12,2
3,3,6
3,7,4
3,5,14
3,8,10
3,18,11
3,13,21
3,16,23
3,24,17
3,19,25
3,20,22
3,26,38
3,31,27
3,33,28
3,35,29
3,32,30
3,37,34
3,39,36
4,0,5
4,17,1
4,2,11
4,14,3
4,6,4
4,18,7
4,8,15
4,10,9
4,12,13
4,21,16
4,19,24
4,25,20
4,23,22
4,27,26
4,28,36
4,29,32
4,30,39
4,34,31
4,33,35
4,38,37
5,1,0
5,2,19
5,3,7
5,4,12
5,9,5
5,6,18
5,14,8
5,15,10
5,11,13
5,16,24
5,21,17
5,23,20
5,22,25
5,30,26
5,28,27
5,34,29
5,39,31
5,32,33
5,37,35
5,36,38
