FO_Karel,5,2654,32,2654,32
0,4,12
0,8,12
0,9,2
0,11,4
0,13,5
0,21,7
0,23,9
0,25,1
0,33,9
1,10,6
1,11,12
1,14,2
1,17,5
1,25,10
1,26,8
1,41,1
1,43,6
2,16,0
2,22,13
2,23,4
2,24,13
2,38,9
2,40,10
2,42,2
2,43,6
2,47,6
2,50,9
3,4,12
3,5,5
3,15,12
3,18,9
3,22,3
3,23,6
3,35,1
3,52,10
3,56,9
4,3,0
4,16,5
4,21,10
4,22,13
4,24,8
4,26,13
4,35,3
4,40,2
5,12,13
5,15,4
5,22,9
5,33,1
5,36,7
5,39,11
5,58,13
5,59,11
5,60,1
5,61,9
5,62,6
6,7,1
6,8,9
6,10,6
6,16,11
6,17,11
6,19,4
6,29,12
6,44,9
6,49,2
7,6,10
7,8,6
7,29,4
7,31,2
7,47,12
7,48,9
7,49,9
7,60,0
7,62,0
8,6,0
8,7,7
8,16,8
8,17,13
8,19,2
8,26,10
8,29,10
8,31,4
8,50,13
9,0,10
9,11,6
9,20,5
9,25,6
9,41,8
9,43,13
9,44,0
9,45,13
9,60,10
9,61,3
10,1,11
10,6,5
10,26,2
10,27,13
10,28,0
10,42,9
10,49,5
10,59,9
10,63,7
11,0,8
11,13,0
11,14,13
11,20,5
11,23,11
11,25,5
11,27,10
11,28,2
11,33,13
12,5,12
12,23,9
12,39,6
12,50,4
12,51,11
12,53,12
12,55,1
12,57,2
12,60,6
12,61,9
13,1,9
13,11,7
13,14,10
13,23,1
13,40,4
13,42,12
13,43,2
13,48,9
14,1,7
14,11,3
14,13,6
14,16,4
14,17,1
14,24,9
14,25,12
14,34,9
15,3,13
15,12,8
15,18,3
15,20,13
15,22,9
15,24,6
15,33,11
15,35,9
15,37,1
16,2,12
16,4,9
16,8,3
16,18,7
16,19,10
16,24,1
16,33,9
16,34,10
16,38,6
17,6,3
17,14,8
17,26,4
17,27,0
17,28,6
17,32,12
17,62,10
17,63,10
18,2,8
18,3,4
18,4,6
18,15,10
18,16,2
18,31,12
18,37,10
18,38,1
18,46,12
19,0,13
19,8,11
19,29,0
19,31,6
19,32,9
19,46,3
19,59,9
19,60,8
19,62,13
20,0,6
20,9,12
20,21,8
20,44,12
20,45,0
20,58,10
20,61,4
20,62,3
21,20,2
21,22,11
21,31,9
21,35,6
21,36,13
21,40,13
21,45,9
21,52,4
21,62,0
21,63,0
22,4,1
22,15,2
22,21,5
22,35,8
22,36,10
22,38,12
22,39,4
23,0,0
23,4,7
23,16,13
23,20,13
23,24,3
23,27,2
23,28,10
23,35,5
23,62,10
24,0,10
24,2,5
24,4,4
24,18,0
24,22,7
24,23,12
24,28,10
24,38,2
25,0,13
25,1,3
25,9,7
25,10,4
25,14,0
25,24,9
25,41,11
25,44,9
25,57,13
25,63,4
26,0,11
26,1,0
26,10,12
26,17,7
26,20,9
26,27,5
26,42,9
26,58,11
26,59,3
27,0,3
27,11,1
27,14,11
27,17,9
27,18,9
27,28,12
27,42,7
27,43,4
28,0,11
28,6,7
28,11,9
28,13,13
28,14,5
28,17,11
28,26,1
28,36,13
28,42,4
29,6,5
29,9,9
29,30,5
29,31,9
29,32,1
29,46,11
29,49,3
29,56,13
29,58,8
29,63,13
30,7,11
30,14,13
30,19,1
30,29,6
30,32,4
30,45,9
30,46,8
30,49,9
30,59,13
30,60,6
31,7,8
31,24,13
31,30,3
31,32,7
31,33,13
31,46,5
31,47,11
31,48,11
31,58,0
31,63,0
32,3,13
32,6,8
32,7,3
32,19,5
32,26,13
32,46,6
32,47,11
32,49,0
32,59,11
33,5,8
33,7,5
33,15,0
33,34,12
33,37,3
33,46,12
33,48,5
33,53,10
33,54,6
34,15,5
34,16,11
34,18,13
34,33,2
34,37,6
34,48,11
34,58,13
34,59,0
34,62,8
35,3,7
35,5,10
35,13,13
35,18,11
35,22,0
35,36,2
35,38,4
35,39,13
36,1,9
36,5,3
36,22,6
36,35,12
36,39,9
36,58,11
36,60,4
36,61,1
36,62,4
37,15,12
37,18,5
37,32,9
37,33,7
37,34,9
37,48,2
37,53,4
37,54,0
38,2,3
38,18,13
38,23,8
38,24,11
38,40,0
38,47,5
38,53,10
38,54,10
38,62,13
39,5,2
39,36,0
39,55,8
39,56,7
39,58,5
39,60,10
39,61,12
39,63,5
40,2,1
40,4,11
40,8,5
40,31,12
40,38,7
40,41,9
40,43,9
40,47,3
40,53,12
41,1,13
41,9,4
41,10,10
41,25,2
41,26,10
41,39,13
41,42,0
41,44,7
41,45,5
42,1,13
42,2,11
42,10,1
42,13,3
42,27,6
42,28,8
42,40,13
42,43,10
43,2,7
43,8,1
43,9,12
43,13,11
43,27,8
43,28,3
43,41,12
43,42,5
44,1,4
44,9,11
44,13,8
44,20,1
44,25,6
44,41,3
44,43,13
44,45,6
44,51,13
45,9,1
45,20,7
45,21,3
45,25,8
45,41,12
45,44,10
45,60,4
45,62,4
45,63,10
46,7,13
46,17,13
46,19,7
46,29,2
46,30,0
46,32,10
46,34,4
46,38,9
46,47,9
47,12,13
47,30,10
47,31,10
47,32,2
47,33,4
47,37,13
47,40,8
47,43,0
47,48,7
47,54,4
48,15,10
48,16,13
48,31,10
48,33,4
48,34,3
48,37,8
48,45,13
48,46,1
48,47,6
48,50,6
48,54,4
48,58,0
49,6,13
49,10,4
49,26,6
49,29,10
49,30,10
49,31,1
49,59,8
49,61,11
49,63,4
50,12,10
50,37,10
50,48,12
50,51,8
50,52,1
50,53,7
50,54,2
50,56,5
51,12,0
51,50,3
51,52,12
51,53,2
51,54,10
51,55,10
51,57,7
51,59,5
51,60,12
51,63,5
52,3,2
52,4,9
52,12,5
52,37,13
52,47,9
52,51,6
52,55,11
52,56,0
52,57,13
53,3,8
53,7,13
53,8,9
53,37,11
53,50,0
53,51,13
53,52,3
53,54,9
53,55,6
54,3,11
54,7,5
54,12,3
54,48,5
54,50,13
54,52,7
54,53,1
54,57,8
54,59,13
55,12,7
55,39,3
55,51,9
55,54,12
55,56,9
55,57,0
55,58,5
55,59,5
55,63,2
56,21,12
56,39,1
56,50,11
56,52,8
56,55,4
56,60,2
56,61,6
57,12,10
57,39,6
57,43,9
57,50,9
57,51,1
57,52,12
57,53,5
57,55,10
57,58,3
57,60,12
58,5,12
58,11,6
58,19,12
58,30,2
58,34,1
58,35,9
58,41,9
58,45,2
58,47,1
58,49,7
58,51,4
59,10,10
59,15,7
59,19,12
59,21,1
59,29,12
59,41,6
59,44,2
59,45,6
59,48,1
59,56,10
59,57,4
60,9,9
60,10,3
60,30,7
60,36,5
60,39,9
60,44,5
60,45,11
60,46,1
60,48,0
60,55,13
60,57,11
60,63,13
61,5,0
61,10,8
61,19,10
61,30,5
61,34,7
61,45,2
61,49,5
61,55,13
61,56,13
62,17,2
62,20,11
62,29,7
62,30,12
62,34,1
62,36,5
62,44,5
62,45,11
62,47,1
62,49,12
62,51,9
62,54,9
63,17,9
63,20,9
63,21,1
63,30,12
63,33,1
63,36,8
63,40,6
63,49,12
63,56,3
63,57,11
