0,Heuristic,0,500
Time,Value 
1980,57976
1950,57976
1920,57976
1890,57976
1860,57976
1830,57976
1800,57976
1770,57976
840,60800
810,60966
780,61238
750,61518
720,61842
690,62062
660,62468
630,62814
600,63226
570,63722
540,64254
510,64856
480,65342
450,65990
420,67022
390,68034
0,150538
30,106360
60,95646
90,89006
120,84106
150,80584
180,77926
210,75658
240,73998
270,72464
300,71090
330,69762
360,68828
870,60514
900,60266
930,60140
960,59962
990,59776
1020,59624
1050,59446
1080,59446
1110,59252
1140,59160
1170,59124
1200,58934
1230,58768
1260,58618
1290,58600
1320,58500
1350,58428
1380,58320
1410,58238
1440,58238
1470,58208
1500,58192
1530,58128
1560,58038
1590,58038
1620,58014
1650,57998
1680,57990
1710,57986
1740,57976
Final, 57976

Round,H_team,A_team 
0,0,3
0,17,1
0,2,6
0,18,4
0,13,5
0,16,7
0,34,8
0,9,11
0,14,10
0,15,12
0,19,28
0,20,21
0,22,31
0,37,23
0,29,24
0,25,30
0,26,32
0,35,27
0,36,33
0,39,38
1,0,2
1,16,1
1,3,9
1,17,4
1,11,5
1,14,6
1,18,7
1,38,8
1,15,10
1,13,12
1,19,30
1,20,31
1,21,28
1,34,22
1,39,23
1,35,24
1,25,32
1,36,26
1,33,27
1,29,37
2,0,17
2,14,1
2,2,3
2,11,4
2,5,19
2,13,6
2,12,7
2,35,8
2,9,20
2,16,10
2,15,36
2,18,30
2,21,31
2,33,22
2,38,23
2,34,24
2,25,37
2,39,26
2,27,32
2,28,29
3,9,0
3,1,2
3,3,20
3,4,19
3,21,5
3,6,17
3,7,36
3,8,14
3,10,13
3,11,15
3,12,39
3,33,16
3,23,18
3,32,22
3,24,37
3,29,25
3,38,26
3,27,34
3,31,28
3,30,35
4,10,0
4,1,15
4,2,20
4,3,19
4,4,14
4,23,5
4,6,36
4,7,17
4,9,8
4,12,11
4,13,39
4,26,16
4,22,18
4,24,21
4,27,25
4,28,34
4,29,30
4,31,38
4,32,35
4,37,33
5,11,0
5,1,12
5,2,9
5,17,3
5,6,4
5,15,5
5,13,7
5,8,10
5,14,39
5,23,16
5,19,18
5,20,22
5,25,21
5,24,31
5,28,26
5,37,27
5,36,29
5,30,34
5,32,38
5,35,33
6,0,1
6,2,11
6,18,3
6,4,12
6,5,9
6,8,6
6,10,7
6,19,13
6,14,15
6,16,17
6,20,37
6,21,23
6,22,35
6,39,24
6,36,25
6,30,26
6,38,27
6,33,28
6,34,29
6,31,32
7,0,15
7,1,11
7,7,2
7,16,3
7,4,8
7,5,14
7,6,20
7,9,10
7,12,17
7,18,13
7,19,37
7,22,21
7,23,35
7,38,24
7,31,25
7,29,26
7,39,27
7,36,28
7,30,33
7,34,32
8,0,14
8,9,1
8,2,4
8,3,8
8,5,20
8,6,15
8,11,7
8,10,12
8,13,16
8,17,37
8,18,21
8,34,19
8,22,23
8,33,24
8,25,35
8,26,31
8,27,30
8,39,28
8,29,38
8,32,36
9,33,0
9,8,1
9,15,2
9,10,3
9,4,20
9,7,5
9,6,16
9,9,14
9,13,11
9,12,18
9,17,21
9,35,19
9,28,22
9,23,29
9,24,36
9,25,26
9,27,31
9,30,38
9,32,39
9,37,34
10,34,0
10,1,5
10,14,2
10,11,3
10,4,16
10,12,6
10,7,8
10,17,9
10,10,18
10,15,13
10,31,19
10,20,33
10,21,27
10,22,29
10,23,36
10,25,24
10,26,37
10,28,38
10,30,32
10,35,39
11,32,0
11,1,10
11,8,2
11,12,3
11,4,5
11,6,7
11,19,9
11,11,22
11,13,17
11,14,18
11,16,15
11,20,27
11,21,29
