0,Heuristic,0,500
Time,Value 
30,105825
0,138608
Final, 105825

Round,H_team,A_team 
0,4,0
0,1,11
0,2,9
0,3,13
0,6,5
0,15,7
0,10,8
0,12,14
1,0,5
1,1,13
1,2,11
1,3,9
1,4,8
1,12,6
1,14,7
1,10,15
2,0,3
2,1,2
2,4,15
2,5,11
2,14,6
2,12,7
2,8,13
2,9,10
3,11,0
3,9,1
3,2,12
3,14,3
3,5,4
3,13,6
3,7,10
3,8,15
4,13,0
4,7,1
4,2,4
4,11,3
4,5,12
4,6,10
4,8,9
4,15,14
5,15,0
5,6,1
5,10,2
5,3,4
5,7,5
5,11,8
5,9,12
5,13,14
6,0,2
6,1,3
6,4,7
6,9,5
6,8,6
6,14,10
6,15,11
6,12,13
7,0,7
7,1,15
7,2,3
7,12,4
7,8,5
7,9,6
7,13,10
7,14,11
8,10,0
8,5,1
8,2,15
8,6,3
8,13,4
8,7,8
8,14,9
8,12,11
9,0,12
9,10,1
9,5,2
9,3,15
9,11,4
9,7,6
9,8,14
9,13,9
10,6,0
10,4,1
10,7,2
10,3,8
10,5,14
10,11,9
10,10,12
10,15,13
11,0,14
11,1,8
11,6,2
11,3,5
11,4,10
11,9,7
11,11,13
11,15,12
