0,Heuristic,0,1
Time,Value 
30,984
0,1362
Final, 982

Round,H_team,A_team 
0,0,1
0,3,2
0,5,4
0,6,7
0,9,8
0,11,10
0,16,12
0,13,15
0,14,18
0,19,17
0,21,20
0,22,29
0,23,25
0,24,26
0,27,30
0,32,28
0,39,31
0,33,34
0,35,36
0,38,37
1,11,0
1,2,1
1,5,3
1,7,4
1,6,9
1,10,8
1,12,15
1,13,18
1,14,23
1,22,16
1,17,20
1,26,19
1,21,24
1,25,29
1,28,27
1,30,34
1,38,31
1,36,32
1,33,35
1,39,37
2,12,0
2,1,9
2,2,11
2,3,13
2,8,4
2,6,5
2,7,23
2,10,15
2,17,14
2,21,16
2,18,20
2,25,19
2,22,24
2,27,26
2,28,30
2,29,39
2,31,33
2,37,32
2,34,35
2,36,38
3,9,0
3,1,7
3,8,2
3,3,11
3,4,13
3,5,23
3,26,6
3,12,10
3,16,14
3,15,17
3,18,21
3,24,19
3,20,22
3,30,25
3,34,27
3,28,39
3,29,33
3,31,36
3,38,32
3,35,37
4,0,7
4,1,11
4,15,2
4,4,3
4,9,5
4,23,6
4,22,8
4,10,13
4,14,12
4,20,16
4,17,18
4,19,21
4,37,24
4,32,25
4,26,29
4,35,27
4,31,28
4,30,36
4,33,39
4,38,34
5,3,0
5,4,1
5,18,2
5,5,7
5,20,6
5,23,8
5,10,9
5,11,17
5,13,12
5,14,15
5,19,16
5,21,22
5,36,24
5,26,25
5,33,27
5,28,29
5,30,31
5,32,35
5,37,34
5,39,38
6,2,0
6,3,1
6,6,4
6,5,10
6,7,9
6,25,8
6,13,11
6,12,17
6,14,20
6,15,16
6,18,19
6,27,21
6,22,23
6,34,24
6,28,26
6,29,35
6,38,30
6,31,32
6,37,33
6,39,36
7,0,14
7,6,1
7,2,5
7,9,3
7,4,10
7,8,7
7,12,11
7,17,13
7,15,20
7,16,18
7,19,22
7,25,21
7,23,26
7,24,28
7,27,37
7,29,38
7,39,30
7,31,35
7,34,32
7,36,33
8,0,5
8,1,14
8,4,2
8,8,3
8,11,6
8,7,10
8,9,12
8,16,13
8,15,18
8,17,22
8,19,28
8,20,26
8,23,21
8,24,25
8,27,31
8,29,37
8,32,30
8,33,38
8,36,34
8,35,39
9,0,4
9,1,5
9,2,14
9,7,3
9,10,6
9,8,12
9,13,9
9,11,15
9,16,17
9,18,22
9,20,19
9,21,28
9,24,23
9,25,27
9,26,31
9,30,29
9,32,33
9,34,39
9,35,38
9,37,36
