0,IP,i02
Time,Value 
0,3989
Final, 3989,3980

Round,H_team,A_team 
0,8,0
0,1,9
0,21,2
0,3,18
0,7,4
0,5,10
0,6,12
0,11,13
0,15,14
0,16,23
0,22,17
0,19,25
0,24,20
0,26,30
0,27,31
0,36,28
0,34,29
0,32,33
0,38,35
0,39,37
1,0,5
1,20,1
1,2,11
1,3,6
1,4,19
1,12,7
1,9,8
1,10,15
1,13,21
1,18,14
1,16,22
1,17,24
1,25,23
1,31,26
1,33,27
1,29,28
1,30,32
1,37,34
1,35,36
1,38,39
2,0,10
2,1,21
2,2,25
2,12,3
2,14,4
2,8,5
2,6,18
2,7,11
2,15,9
2,19,13
2,17,16
2,23,20
2,22,24
2,27,26
2,28,33
2,32,29
2,39,30
2,34,31
2,35,37
2,36,38
3,9,0
3,1,16
3,13,2
3,14,3
3,18,4
3,5,15
3,6,7
3,10,8
3,11,12
3,21,17
3,22,19
3,25,20
3,24,23
3,26,37
3,27,30
3,28,32
3,36,29
3,31,39
3,33,35
3,38,34
4,0,1
4,19,2
4,3,7
4,4,6
4,5,14
4,8,15
4,10,9
4,18,11
4,12,13
4,16,21
4,23,17
4,20,22
4,25,24
4,26,39
4,29,27
4,35,28
4,30,34
4,31,32
4,33,36
4,37,38
5,15,0
5,17,1
5,2,12
5,4,3
5,9,5
5,11,6
5,7,18
5,14,8
5,13,10
5,24,16
5,20,19
5,21,25
5,23,22
5,34,26
5,28,27
5,29,33
5,30,31
5,32,38
5,39,35
5,37,36
