0,IP,i01
Time,Value 
Final, 2821,2821

Round,H_team,A_team 
0,0,8
0,1,2
0,3,4
0,10,5
0,15,6
0,7,21
0,9,14
0,11,20
0,12,13
0,17,16
0,18,19
0,22,24
0,23,30
0,31,25
0,28,26
0,27,29
0,32,33
1,2,0
1,1,7
1,21,3
1,8,4
1,5,18
1,6,11
1,9,13
1,19,10
1,14,12
1,15,17
1,20,16
1,27,22
1,26,23
1,24,31
1,29,25
1,33,28
1,30,32
2,0,7
2,8,1
2,4,2
2,3,18
2,5,12
2,13,6
2,10,9
2,14,11
2,16,15
2,17,21
2,19,20
2,30,22
2,23,31
2,32,24
2,25,28
2,26,27
2,33,29
3,0,1
3,2,8
3,3,19
3,7,4
3,13,5
3,6,17
3,9,20
3,12,10
3,11,16
3,15,14
3,18,21
3,22,25
3,32,23
3,24,33
3,29,26
3,28,27
3,31,30
4,4,0
4,1,3
4,7,2
4,19,5
4,16,6
4,21,8
4,12,9
4,10,18
4,17,11
4,14,13
4,20,15
4,22,28
4,23,33
4,30,24
4,25,26
4,27,31
4,29,32
5,18,0
5,4,1
5,2,3
5,5,9
5,6,12
5,8,7
5,13,10
5,11,15
5,16,14
5,20,17
5,21,19
5,26,22
5,24,23
5,25,27
5,28,29
5,33,30
5,31,32
