Instance,Vcr
i06,57
Round,H_team,A_team 
0,27,0
0,24,1
0,13,2
0,28,3
0,16,4
0,12,5
0,6,32
0,7,18
0,21,8
0,30,9
0,10,20
0,11,23
0,31,14
0,15,26
0,17,29
0,25,19
0,33,22
0,40,34
0,59,35
0,58,36
0,39,37
0,38,56
0,54,41
0,42,64
0,43,57
0,44,60
0,46,45
0,47,49
0,48,62
0,65,50
0,51,63
0,53,52
0,61,55
0,127,66
0,119,67
0,88,68
0,71,69
0,70,82
0,134,72
0,73,74
0,75,120
0,128,76
0,77,112
0,114,78
0,148,79
0,145,80
0,105,81
0,83,147
0,89,84
0,85,142
0,86,126
0,87,93
0,90,104
0,151,91
0,92,132
0,94,101
0,131,95
0,103,96
0,97,117
0,98,149
0,150,99
0,113,100
0,139,102
0,106,115
0,138,107
0,108,125
0,118,109
0,110,121
0,111,140
0,135,116
0,122,143
0,129,123
0,136,124
0,130,144
0,141,133
0,137,146
0,152,209
0,215,153
0,154,178
0,157,155
0,156,208
0,158,161
0,159,190
0,160,165
0,197,162
0,163,212
0,183,164
0,166,185
0,167,191
0,214,168
0,169,179
0,181,170
0,171,173
0,177,172
0,202,174
0,175,210
0,180,176
0,182,217
0,218,184
0,204,186
0,187,189
0,200,188
0,219,192
0,194,193
0,195,203
0,196,211
0,221,198
0,206,199
0,201,205
0,216,207
0,220,213
0,232,222
0,233,223
0,224,227
0,225,234
0,231,226
0,228,237
0,229,236
0,230,240
0,235,238
0,239,241
0,242,248
0,243,244
0,249,245
0,246,252
0,253,247
0,251,250
0,269,254
0,261,255
0,256,263
0,257,294
0,317,258
0,300,259
0,262,260
0,315,264
0,287,265
0,266,285
0,267,288
0,302,268
0,270,319
0,278,271
0,290,272
0,292,273
0,295,274
0,298,275
0,307,276
0,321,277
0,279,314
0,280,309
0,281,301
0,282,316
0,304,283
0,284,310
0,306,286
0,308,289
0,291,320
0,305,293
0,296,311
0,325,297
0,299,313
0,312,303
0,318,323
0,322,324
0,326,331
0,328,327
0,329,341
0,330,369
0,332,334
0,349,333
0,354,335
0,336,358
0,356,337
0,338,366
